mode,language,group,mean,gini,top_20_mass,max,entropy
ALL,en,core_structure,0.11036391361367665,0.41665143895946793,0.44781606417539127,0.5778305530548096,0.9405900442820797
ALL,en,clausal_structure,0.10928238653114176,0.3933266953555722,0.4303491196533844,0.364215612411499,0.9286669598679357
ALL,en,coordination,0.10030648684887974,0.3619219580219918,0.44531145970287045,0.3295166790485382,0.9302779139674205
ALL,en,arguments,0.09887477937508779,0.3961686528662816,0.44579206149626954,0.3820876479148865,0.9408618784155287
ALL,en,modifiers,0.08524048913098493,0.4031504951985806,0.4285272974180149,0.37109142541885376,0.9447501693307047
ALL,en,function_words,0.07883434152529346,0.4360187249614217,0.45362296646040073,0.40304338932037354,0.9394379751085168
ALL,en,punctuation,0.07266658351590655,0.3511225749885247,0.38969836995568297,0.19335538148880005,0.9501945188645315
ALL,en,generic,0.05543064884841442,0.3125030291985777,0.5625263861839742,0.10418722033500671,0.9098042939461353
ALL,es,generic,0.14683780819177628,0.31188379833094754,0.6136324962332586,0.2703133523464203,0.8403024724636882
ALL,es,core_structure,0.08463768218102496,0.43425362062611533,0.46506387899874024,0.37277865409851074,0.9350120242902336
ALL,es,punctuation,0.08051191699718509,0.44445728864029455,0.464051273925083,0.42968738079071045,0.9223344820753876
ALL,es,function_words,0.07759274453875951,0.442824658909389,0.4661258635911946,0.36307787895202637,0.9425399896943668
ALL,es,modifiers,0.07322083942408031,0.45509630341797985,0.4747175141692678,0.35085055232048035,0.9336755983059316
ALL,es,coordination,0.06797542300326033,0.32266768812356117,0.4178105009769363,0.17116963863372803,0.955674165649406
ALL,es,clausal_structure,0.06517708336260901,0.47685988307865734,0.5021483080094361,0.29985854029655457,0.8980305291957972
ALL,es,arguments,,,,,
ALL,fr,clausal_structure,0.10426067521925582,0.40977256209303653,0.46888467789879174,0.4298095405101776,0.9339161843843211
ALL,fr,core_structure,0.08740947143309177,0.4586486266940705,0.47287266520490673,0.4075641632080078,0.927787327712795
ALL,fr,function_words,0.07569937995429682,0.46535665234215434,0.4926971423315802,0.42059624195098877,0.9365476750140233
ALL,fr,modifiers,0.0711691058585663,0.43005878754766796,0.4647685563828221,0.39755019545555115,0.9393817672815921
ALL,fr,punctuation,0.06566163548268378,0.44865779223592317,0.4436127039868108,0.21654079854488373,0.9088197656865621
ALL,fr,coordination,0.05983456236426719,0.4471090510115323,0.47099356585301294,0.25780755281448364,0.9052471176772443
ALL,fr,generic,0.05273607106368138,0.49681672152067596,0.48869859563732887,0.18327948451042175,0.848680787495006
ALL,fr,arguments,,,,,
T2T,en,arguments,0.09500598588958382,0.3418330639591171,0.3998146138647307,0.21903157234191895,0.9501756646020216
T2T,en,clausal_structure,0.09028953446873597,0.3293572217632548,0.4002018255666955,0.2232179194688797,0.9198760664516372
T2T,en,core_structure,0.0875396752582711,0.3754098677786267,0.4028300053047304,0.23648366332054138,0.9430359638437539
T2T,en,modifiers,0.08638970232988318,0.3622169877476735,0.43285661347868504,0.2852746248245239,0.9489850349896672
T2T,en,generic,0.07126939482986927,0.08159592225310837,0.581596036742536,0.08289999514818192,0.9807031330571907
T2T,en,coordination,0.07096694223582745,0.3028798180507024,0.35719916101795546,0.11524807661771774,0.9052770033868139
T2T,en,function_words,0.0587298437487334,0.44241271365661367,0.44847527227506306,0.17182135581970215,0.9238739087528826
T2T,en,punctuation,0.04497343259863555,0.4742630928262749,0.4404297291380073,0.11009743064641953,0.8466741258949451
T2T,es,generic,0.14683780819177628,0.31188379833094754,0.6136324962332586,0.2703133523464203,0.8403024724636882
T2T,es,core_structure,0.06946435014912355,0.37783014467440446,0.4293852810597034,0.30790868401527405,0.9409212192976248
