,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,Lang_1,Lang_2
0,T2T,S2T,-6.890525137632718,<0.01,126,127,-0.0584630344400373,True,en,en
1,T2T,SF2T,-3.696921939614999,<0.01,126,127,-0.029805317529574344,True,en,en
2,T2T,SM2T,-3.4899276305496376,<0.01,126,127,-0.028876138029722716,True,en,en
3,T2T,S2T,-7.802248852356774,<0.01,118,119,-0.06292243711180798,True,es,es
4,T2T,SF2T,-4.536574565230276,<0.01,118,119,-0.03503966680140931,True,es,es
5,T2T,SM2T,-4.710974119898387,<0.01,118,119,-0.036813975937914946,True,es,es
6,T2T,S2T,-7.872043733928328,<0.01,112,113,-0.0754085736909667,True,fr,fr
7,T2T,SF2T,-4.729531670934675,<0.01,112,113,-0.043914177677536435,True,fr,fr
8,T2T,SM2T,-4.133997229745391,<0.01,112,113,-0.039064368076490615,True,fr,fr
9,SF2T,SM2T,0.07120829084099076,0.94,151,152,0.00044922273714052466,False,en,en
10,SF2T,SM2T,-0.1035000124685593,0.92,131,132,-0.0006859787619870269,False,es,es
11,SF2T,SM2T,0.17518743239649356,0.86,130,131,0.001413362534389696,False,fr,fr
