,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,Lang_1,Lang_2
0,T2T,S2T,-6.7262739898506005,<0.01,121,122,-0.05869703852098252,True,en,en
1,T2T,SF2T,-3.7710186327728814,<0.01,121,122,-0.031197102184332984,True,en,en
2,T2T,SM2T,-3.3542299526956363,<0.01,121,122,-0.028464697576204283,True,en,en
3,T2T,S2T,-7.482704426386602,<0.01,112,113,-0.06348148603981311,True,es,es
4,T2T,SF2T,-4.3291425510672195,<0.01,112,113,-0.035019006646048706,True,es,es
5,T2T,SM2T,-4.437629932044305,<0.01,112,113,-0.03705319610580934,True,es,es
6,T2T,S2T,-7.630327314147479,<0.01,106,107,-0.07682539708041977,True,fr,fr
7,T2T,SF2T,-4.497762638144378,<0.01,106,107,-0.04396894441865315,True,fr,fr
8,T2T,SM2T,-4.006262658343244,<0.01,106,107,-0.03981899965345581,True,fr,fr
9,SF2T,SM2T,0.28021632445807676,0.78,145,146,0.0018123166090633388,False,en,en
10,SF2T,SM2T,-0.12640079163403425,0.9,125,126,-0.0008672207800878419,False,es,es
11,SF2T,SM2T,0.3427437819204668,0.73,122,123,0.002883934764176365,False,fr,fr
