,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,Lang_1,Lang_2
0,T2T,S2T,-4.6200530034098914,<0.01,30,31,-0.09519513047510578,True,en,en
1,T2T,SF2T,-2.296262241637594,0.03,30,31,-0.05196075525975997,False,en,en
2,T2T,SM2T,-3.8137876530315253,<0.01,30,31,-0.06703014864075568,True,en,en
3,T2T,S2T,-5.523082571327693,<0.01,30,31,-0.10421974440255473,True,es,es
4,T2T,SF2T,-3.675501457317353,<0.01,30,31,-0.066936299324997,True,es,es
5,T2T,SM2T,-4.3844276637049395,<0.01,30,31,-0.07708233775150392,True,es,es
6,T2T,S2T,-6.733241314155666,<0.01,30,31,-0.12135203062526641,True,fr,fr
7,T2T,SF2T,-4.796251450746224,<0.01,30,31,-0.09110344730077251,True,fr,fr
8,T2T,SM2T,-4.353979851441679,<0.01,30,31,-0.07897828615480854,True,fr,fr
9,SF2T,SM2T,-0.9295921556386308,0.36,30,31,-0.01506939338099572,False,en,en
10,SF2T,SM2T,-0.6821994983100905,0.5,30,31,-0.010146038426506904,False,es,es
11,SF2T,SM2T,0.7451829363035951,0.46,30,31,0.012125161145963976,False,fr,fr
