,index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,Lang_1,Lang_2
0,0,T2T,S2T,-5.311431836056612,<0.01,126,127,-0.0262513139546536,3.819069309779083,2.20776668733972e-06,-0.47,True,True,mean,en,en
1,1,T2T,SF2T,-5.2159556296079215,<0.01,126,127,-0.02646191761092622,1.3345634501234347,0.0002779296458148555,-0.46,True,True,mean,en,en
2,2,T2T,SM2T,-4.382991370746863,<0.01,126,127,-0.026040710298380985,4.5090249900286,5.7828528070864174e-06,-0.39,True,True,mean,en,en
3,3,T2T,S2T,-7.062660555360677,<0.01,118,119,-0.03488766382804535,1.0557931342565272,0.01764908351162232,-0.65,True,True,mean,es,es
4,4,T2T,SF2T,-5.935830779382534,<0.01,118,119,-0.035623345027791624,1.827045374311803,0.0004498763048907599,-0.54,True,True,mean,es,es
5,5,T2T,SM2T,-6.124073574267341,<0.01,118,119,-0.03415198262829908,0.7104429460685684,0.021745023671294654,-0.56,True,True,mean,es,es
6,6,T2T,S2T,-8.329537256151081,<0.01,112,113,-0.04380969996089548,1.3069036847615143,0.10525552259633274,-0.78,True,False,mean,fr,fr
7,7,T2T,SF2T,-6.872123919884069,<0.01,112,113,-0.044014188740618465,2.6435739240407736,0.00015578832606683385,-0.65,True,True,mean,fr,fr
8,8,T2T,SM2T,-6.9104620691394425,<0.01,112,113,-0.0436052111811725,0.9984713306449726,0.014406399806976904,-0.65,True,True,mean,fr,fr
9,9,SF2T,SM2T,-0.07389060789317227,0.94,151,152,-0.00034917607039811646,1.614833713698161,9.744664493253034e-05,-0.01,False,True,mean,en,en
10,10,SF2T,SM2T,0.5127953406334752,0.61,131,132,0.0029311874514145126,4.910832171419375,6.037016698774384e-07,0.04,False,True,mean,es,es
11,11,SF2T,SM2T,-0.26309514166576,0.79,130,131,-0.001721202579959883,5.594373497380133,2.6977041541582063e-07,-0.02,False,True,mean,fr,fr
12,12,T2T,S2T,-2.341452123806297,0.02,126,127,-0.04655215899242268,-0.2660243534244713,0.03757869782247441,-0.21,False,True,gini,en,en
13,13,T2T,SF2T,1.7905127616690386,0.08,126,127,0.03544654666692249,0.014931527984189952,0.002482858359328051,0.16,False,True,gini,en,en
