,index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,Lang_1,Lang_2
0,0,T2T,S2T,-5.212468712949927,<0.01,121,122,-0.026122881254335255,4.161100335250321,1.7675215269411489e-06,-0.47,True,True,mean,en,en
1,1,T2T,SF2T,-5.287366236924808,<0.01,121,122,-0.02664652332168203,1.5289358882559174,0.0006740084751992099,-0.48,True,True,mean,en,en
2,2,T2T,SM2T,-4.20991877337797,<0.01,121,122,-0.02559923918698849,4.715467332104279,5.005649323276662e-06,-0.38,True,True,mean,en,en
3,3,T2T,S2T,-6.825190469765269,<0.01,112,113,-0.03465414168493186,1.0180110951339332,0.04855448156189129,-0.64,True,True,mean,es,es
4,4,T2T,SF2T,-5.6633316856513,<0.01,112,113,-0.03512513907355588,1.805069453763541,0.0006425212418157144,-0.53,True,True,mean,es,es
5,5,T2T,SM2T,-5.970523321699241,<0.01,112,113,-0.03418314429630783,0.7214657726209164,0.035849502169651326,-0.56,True,True,mean,es,es
6,6,T2T,S2T,-7.918149609568209,<0.01,106,107,-0.043443523244000845,1.2845573339764815,0.1225291602259407,-0.77,True,False,mean,fr,fr
7,7,T2T,SF2T,-6.439485828681321,<0.01,106,107,-0.04336696160653278,2.490946681608004,0.00024007892847481742,-0.62,True,True,mean,fr,fr
8,8,T2T,SM2T,-6.667548564842581,<0.01,106,107,-0.04352008488146891,1.0571163785097184,0.024468881400047257,-0.64,True,True,mean,fr,fr
9,9,SF2T,SM2T,0.003117663849266557,1.0,145,146,1.4858741138330324e-05,1.8875314107159458,3.9666250869323154e-05,0.0,False,True,mean,en,en
10,10,SF2T,SM2T,0.42778239295231313,0.67,125,126,0.0025259526021915333,4.953940071170778,5.846013474224075e-07,0.04,False,True,mean,es,es
11,11,SF2T,SM2T,-0.01763482930220293,0.99,122,123,-0.00011803506975285657,6.051856550614463,1.4477750501464902e-07,-0.0,False,True,mean,fr,fr
12,12,T2T,S2T,-2.07751057846383,0.04,121,122,-0.042340131078555825,-0.23921328343041104,0.02653777870024927,-0.19,False,True,gini,en,en
13,13,T2T,SF2T,1.6606549919474474,0.1,121,122,0.033820972652112175,-0.10429865026330498,0.004078448864883974,0.15,False,True,gini,en,en
14,14,T2T,SM2T,1.5118688299912095,0.13,121,122,0.03140812942316588,-0.42356814327200176,0.005512779917466536,0.14,False,True,gini,en,en
15,15,T2T,S2T,-2.6388249255945597,0.01,112,113,-0.059891311119553606,-0.4416058553827673,0.31618419360023675,-0.25,False,False,gini,es,es
16,16,T2T,SF2T,2.346429141585394,0.02,112,113,0.05027897694594759,0.4230294480528789,0.0006355067100520279,0.22,False,True,gini,es,es
17,17,T2T,SM2T,2.043198449167169,0.04,112,113,0.04824350322584637,-0.4012787872192165,0.0452676818763645,0.19,False,True,gini,es,es
18,18,T2T,S2T,-1.5701160820132802,0.12,106,107,-0.0342153749984081,-0.21598062272069507,0.44457736624495214,-0.15,False,False,gini,fr,fr
19,19,T2T,SF2T,3.413869812081898,<0.01,106,107,0.06591594915895407,0.3134436924924544,0.243796051053215,0.33,True,False,gini,fr,fr
20,20,T2T,SM2T,3.9126692231417928,<0.01,106,107,0.0821751519724598,0.016416261324760484,0.05634295063191498,0.38,True,False,gini,fr,fr
21,21,SF2T,SM2T,-0.17817485174785994,0.86,145,146,-0.0025299911820553674,1.9806931363225626,3.976051031818802e-09,-0.01,False,True,gini,en,en
22,22,SF2T,SM2T,-0.5179224998511456,0.61,125,126,-0.008896551529767741,1.0991604308831002,8.442045167130172e-09,-0.05,False,True,gini,es,es
23,23,SF2T,SM2T,0.6543462020504606,0.51,122,123,0.008810814273960929,3.3029054605182866,1.0554456593282544e-10,0.06,False,True,gini,fr,fr
24,24,T2T,S2T,5.214282902412056,<0.01,121,122,0.13265746500535056,1.3345233596459112,0.008449824139894167,0.47,True,True,top_20_mass,en,en
25,25,T2T,SF2T,-2.8133067074679268,0.01,121,122,-0.07961411551816087,1.560804216340335,0.003939329209401879,-0.25,False,True,top_20_mass,en,en
26,26,T2T,SM2T,-2.789469892387503,0.01,121,122,-0.08098868045919938,1.2778529550224205,0.0026811945394914294,-0.25,False,True,top_20_mass,en,en
27,27,T2T,S2T,3.6898156129311106,<0.01,112,113,0.10370963262283148,-0.11174617051659386,0.04130940279950767,0.35,True,True,top_20_mass,es,es
28,28,T2T,SF2T,-2.043712318334308,0.04,112,113,-0.06887233143459437,1.481796269886666,7.467962538712895e-07,-0.19,False,True,top_20_mass,es,es
29,29,T2T,SM2T,-1.9654598740794837,0.05,112,113,-0.0684233470700741,0.7003099484858386,0.0007849949210398789,-0.18,False,True,top_20_mass,es,es
30,30,T2T,S2T,1.5401905472161144,0.13,106,107,0.04138277110578494,-0.019156719646904463,0.3715955047647041,0.15,False,False,top_20_mass,fr,fr
31,31,T2T,SF2T,-4.233595235346018,<0.01,106,107,-0.12234738971217413,0.7725202437711558,0.011685179614555233,-0.41,True,True,top_20_mass,fr,fr
32,32,T2T,SM2T,-4.0528191459448815,<0.01,106,107,-0.11776779148682218,-0.006747972185606965,0.02009137130415476,-0.39,True,True,top_20_mass,fr,fr
33,33,SF2T,SM2T,-0.40103059512019645,0.69,145,146,-0.007252650776172716,7.846742761497731,1.874658042899823e-12,-0.03,False,True,top_20_mass,en,en
34,34,SF2T,SM2T,-0.20054481513338976,0.84,125,126,-0.006668448907687938,2.696609512047993,1.660540961409594e-10,-0.02,False,True,top_20_mass,es,es
35,35,SF2T,SM2T,-0.3203076646728994,0.75,122,123,-0.00847362301310219,6.265283335457022,3.358291385731763e-14,-0.03,False,True,top_20_mass,fr,fr
36,36,T2T,S2T,-6.7262739898506005,<0.01,121,122,-0.05869703852098252,1.584310751744261,0.0001350560227834831,-0.61,True,True,max,en,en
37,37,T2T,SF2T,-3.7710186327728814,<0.01,121,122,-0.031197102184332984,2.7614823053130184,2.2397124818998355e-06,-0.34,True,True,max,en,en
38,38,T2T,SM2T,-3.3542299526956363,<0.01,121,122,-0.028464697576204283,1.6806731403987154,0.0008274943373477912,-0.3,True,True,max,en,en
39,39,T2T,S2T,-7.482704426386602,<0.01,112,113,-0.06348148603981311,0.6302947404644312,0.07893569105518461,-0.7,True,False,max,es,es
40,40,T2T,SF2T,-4.3291425510672195,<0.01,112,113,-0.035019006646048706,0.9284991713401576,0.07060127332480452,-0.41,True,False,max,es,es
41,41,T2T,SM2T,-4.437629932044305,<0.01,112,113,-0.03705319610580934,1.1858729507987373,0.06956822273377858,-0.42,True,False,max,es,es
42,42,T2T,S2T,-7.630327314147479,<0.01,106,107,-0.07682539708041977,0.521877445943832,0.4401320440194897,-0.74,True,False,max,fr,fr
43,43,T2T,SF2T,-4.497762638144378,<0.01,106,107,-0.04396894441865315,1.23358369908388,0.10059039384608737,-0.43,True,False,max,fr,fr
44,44,T2T,SM2T,-4.006262658343244,<0.01,106,107,-0.03981899965345581,0.9991992432606449,0.04629190742109044,-0.39,True,True,max,fr,fr
45,45,SF2T,SM2T,0.28021632445807676,0.78,145,146,0.0018123166090633388,1.2940899348590893,0.008044639142119886,0.02,False,True,max,en,en
46,46,SF2T,SM2T,-0.12640079163403425,0.9,125,126,-0.0008672207800878419,2.329994408703029,0.0005332782626235788,-0.01,False,True,max,es,es
47,47,SF2T,SM2T,0.3427437819204668,0.73,122,123,0.002883934764176365,2.2375993893984063,0.0007134313311352212,0.03,False,True,max,fr,fr
48,48,T2T,S2T,-5.639155159182075,<0.01,121,122,-0.21361703870777382,-0.32343939404021294,8.935165924272287e-08,-0.51,True,True,entropy,en,en
49,49,T2T,SF2T,2.700504692064118,0.01,121,122,0.12094614543697337,-0.19335313171178203,3.240414415533758e-05,0.24,False,True,entropy,en,en
50,50,T2T,SM2T,2.5989816971738633,0.01,121,122,0.118758139164286,-0.35314650923825086,0.00010860172079407646,0.24,False,True,entropy,en,en
51,51,T2T,S2T,-4.001863411949284,<0.01,112,113,-0.17158667030970423,0.06176892933848821,6.770894500170945e-07,-0.38,True,True,entropy,es,es
52,52,T2T,SF2T,1.6922835575047235,0.09,112,113,0.08496346970848227,-0.023207925548418107,4.4018420709800524e-07,0.16,False,True,entropy,es,es
53,53,T2T,SM2T,1.3670707589761966,0.17,112,113,0.07053412427090273,-0.35586590135632923,4.375002686380357e-06,0.13,False,True,entropy,es,es
54,54,T2T,S2T,-2.460194935053715,0.02,106,107,-0.10405863016664829,0.8451761938719025,7.355078490915843e-07,-0.24,False,True,entropy,fr,fr
55,55,T2T,SF2T,4.972480526450791,<0.01,106,107,0.22320292760252106,-0.12835446527437355,4.82718076192507e-06,0.48,True,True,entropy,fr,fr
56,56,T2T,SM2T,4.32796934482898,<0.01,106,107,0.20662799363955295,-0.2636706221128353,6.601527432598577e-06,0.42,True,True,entropy,fr,fr
57,57,SF2T,SM2T,0.23717619115680158,0.81,145,146,0.0070578300570894245,2.500931913901227,3.0006458257992877e-12,0.02,False,True,entropy,en,en
58,58,SF2T,SM2T,0.0707454373288587,0.94,125,126,0.003068692206008079,0.641209507378814,9.015680610910089e-10,0.01,False,True,entropy,es,es
59,59,SF2T,SM2T,0.0996780358887259,0.92,122,123,0.0033946228467343787,3.2371004224824516,7.195639190848909e-14,0.01,False,True,entropy,fr,fr
