,index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,Lang_1,Lang_2
0,0,T2T,S2T,-5.821535344825295,<0.01,30,31,-0.02104981345468642,1.0754992138580768,0.000567757973499859,-1.05,True,True,mean,en,en
1,1,T2T,SF2T,-5.8215353029271055,<0.01,30,31,-0.0210498132816408,1.0754991549328459,0.000567757175287328,-1.05,True,True,mean,en,en
2,2,T2T,SM2T,-5.821535386723379,<0.01,30,31,-0.021049813627732047,1.0754992727834116,0.0005677589293815195,-1.05,True,True,mean,en,en
3,3,T2T,S2T,-10.004526718130158,<0.01,30,31,-0.043331554587393815,2.0446895417163518,0.007349380960516676,-1.8,True,True,mean,es,es
4,4,T2T,SF2T,-10.004526605397642,<0.01,30,31,-0.043331554279206486,2.0446905477574226,0.007349373132736886,-1.8,True,True,mean,es,es
5,5,T2T,SM2T,-10.00452683086251,<0.01,30,31,-0.043331554895581124,2.044688535675351,0.007349389709152554,-1.8,True,True,mean,es,es
6,6,T2T,S2T,-10.706441802423006,<0.01,30,31,-0.04415522935027889,5.423781524790602,5.608274945430683e-05,-1.92,True,True,mean,fr,fr
7,7,T2T,SF2T,-10.706441213880373,<0.01,30,31,-0.04415522813928167,5.4237834739648925,5.608261072062716e-05,-1.92,True,True,mean,fr,fr
8,8,T2T,SM2T,-10.706442390965481,<0.01,30,31,-0.04415523056127611,5.423779575616226,5.60828881882974e-05,-1.92,True,True,mean,fr,fr
9,9,T2T,S2T,-1.149420833313887,0.26,30,31,-0.02755071460769912,-0.9978764643041811,0.3294576353444181,-0.21,False,False,gini,en,en
10,10,T2T,SF2T,-0.24224058394159928,0.81,30,31,-0.007358940569300222,-0.9325234240683149,0.01589336894757235,-0.04,False,True,gini,en,en
11,11,T2T,SM2T,-0.9498385027238696,0.35,30,31,-0.02142854128869755,-0.43810440073182777,0.72120080074411,-0.17,False,False,gini,en,en
12,12,T2T,S2T,-0.34003000253427795,0.74,30,31,-0.007189373167905853,-0.8640674067383167,0.17732064470540054,-0.06,False,False,gini,es,es
13,13,T2T,SF2T,0.47516622049097595,0.64,30,31,0.011365670997904349,-0.817524106838373,0.22820548165682994,0.09,False,False,gini,es,es
14,14,T2T,SM2T,-0.17669673105405112,0.86,30,31,-0.004035332466120019,0.920134077937969,0.14199094763592876,-0.03,False,False,gini,es,es
15,15,T2T,S2T,-0.03548741461078942,0.97,30,31,-0.000781221029787739,-0.4039577516114954,0.691195097739598,-0.01,False,False,gini,fr,fr
16,16,T2T,SF2T,0.04468392982688579,0.96,30,31,0.0011530122449286103,-0.37151454662900774,0.8594589203387455,0.01,False,False,gini,fr,fr
17,17,T2T,SM2T,0.9559910428621384,0.35,30,31,0.024749061690896773,-0.8436322755261823,0.2764683947479385,0.17,False,False,gini,fr,fr
18,18,SF2T,SM2T,-0.5450165074736585,0.59,30,31,-0.014069600719397331,0.21808798366519166,0.6962037275186321,-0.1,False,False,gini,en,en
19,19,SF2T,SM2T,-0.7035500229219033,0.49,30,31,-0.015401003464024367,-0.35571532099915393,0.7912527058520052,-0.13,False,False,gini,es,es
20,20,SF2T,SM2T,0.8356169648233939,0.41,30,31,0.02359604944596816,-0.5514507347478128,0.5495307734148444,0.15,False,False,gini,fr,fr
21,21,T2T,S2T,-0.45614064409434485,0.65,30,31,-0.011441504265446831,-0.8725914062568307,0.20403648621985784,-0.08,False,False,top_20_mass,en,en
