index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,pos,level_0,Lang_1,Lang_2
0,T2T,S2T,0.616716587957943,0.55,9.0,10.0,0.023580032028257848,-0.8172621151416442,0.4498466059668737,0.2,False,False,mean,INTJ,,en,en
1,T2T,SF2T,1.2916469426414563,0.23,9.0,10.0,0.05218449998646975,-1.2982205325159735,0.22728372893482654,0.41,False,False,mean,INTJ,,en,en
2,T2T,SM2T,-0.11993152292004977,0.91,9.0,10.0,-0.005024435929954052,-0.6999525191685416,0.6202189881665787,-0.04,False,False,mean,INTJ,,en,en
3,SF2T,SM2T,-1.8787684982490727,0.09,9.0,10.0,-0.0572089359164238,-0.6702848574830922,0.7659428776847638,-0.59,False,False,mean,INTJ,,en,en
4,T2T,S2T,-3.3797214239982196,0.01,9.0,10.0,-0.2871352490159565,-0.7157589969810023,0.019459775466165338,-1.07,False,True,gini,INTJ,,en,en
5,T2T,SF2T,1.0,0.34,9.0,10.0,0.031031809245125812,5.1111111111111125,1.0036928213864587e-07,0.32,False,True,gini,INTJ,,en,en
6,T2T,SM2T,1.0,0.34,9.0,10.0,0.031031809245125812,5.1111111111111125,1.0036928213864587e-07,0.32,False,True,gini,INTJ,,en,en
7,T2T,S2T,0.8285075554546167,0.43,9.0,10.0,0.11286380697860823,0.966714394807529,0.09187234414413403,0.26,False,False,top_20_mass,INTJ,,en,en
8,T2T,SF2T,1.68831790432297,0.13,9.0,10.0,0.3810318395275784,-0.8391603419013247,0.014844165708611039,0.53,False,True,top_20_mass,INTJ,,en,en
9,T2T,SM2T,0.44604175331005924,0.67,9.0,10.0,0.08103183952757845,0.17098704499781903,0.0134013038915702,0.14,False,True,top_20_mass,INTJ,,en,en
10,SF2T,SM2T,-1.4055638569974545,0.19,9.0,10.0,-0.3,-0.7055324211778697,0.015408869221726223,-0.44,False,True,top_20_mass,INTJ,,en,en
11,T2T,S2T,-0.3487401164339253,0.74,9.0,10.0,-0.0142832413315773,-0.4673604926213297,0.6476524852899288,-0.11,False,False,max,INTJ,,en,en
12,T2T,SF2T,1.5164156495649044,0.16,9.0,10.0,0.058544448018074034,-1.2086521075001393,0.3597286015264051,0.48,False,False,max,INTJ,,en,en
13,T2T,SM2T,0.03329778774042684,0.97,9.0,10.0,0.001335512101650238,-0.4501856976830916,0.7915726201585394,0.01,False,False,max,INTJ,,en,en
14,SF2T,SM2T,-1.8787684982490727,0.09,9.0,10.0,-0.0572089359164238,-0.6702848574830922,0.7659428776847638,-0.59,False,False,max,INTJ,,en,en
15,T2T,S2T,-2.001875731936467,0.08,9.0,10.0,-0.27627187571980494,-0.9166180978332847,0.0064060731627111145,-0.63,False,True,entropy,INTJ,,en,en
16,T2T,SF2T,-1.3465592951662284,0.21,9.0,10.0,-0.32991950737166026,-1.1840548718904869,0.01621785889935716,-0.43,False,True,entropy,INTJ,,en,en
17,T2T,SM2T,-0.1521074018818372,0.88,9.0,10.0,-0.02991950737166027,-0.3762451339653592,0.040319216383081086,-0.05,False,True,entropy,INTJ,,en,en
18,SF2T,SM2T,1.4055638569974545,0.19,9.0,10.0,0.3,-0.7055324211778697,0.01540886922172616,0.44,False,True,entropy,INTJ,,en,en
0,T2T,S2T,-2.492910917273107,0.02,26.0,27.0,-0.044590683974991094,0.10894513085775204,0.37439753424153716,-0.48,False,False,mean,VERB,,en,en
1,T2T,SF2T,-2.1669854075555186,0.04,26.0,27.0,-0.04743578672850286,1.2279606487715373,0.04390705622337294,-0.42,False,True,mean,VERB,,en,en
2,T2T,SM2T,-1.820185936150896,0.08,26.0,27.0,-0.041745581221479325,0.650321936591737,0.39334433633242893,-0.35,False,False,mean,VERB,,en,en
3,T2T,S2T,-3.570702200307068,<0.01,24.0,25.0,-0.03601927272048557,-0.13013920934996737,0.23077230922575453,-0.71,True,False,mean,VERB,,es,es
4,T2T,SF2T,-2.5389948928390016,0.02,24.0,25.0,-0.039869737066372875,-0.6216400682279501,0.8562787675011757,-0.51,False,False,mean,VERB,,es,es
5,T2T,SM2T,-2.7980992321826337,0.01,24.0,25.0,-0.03216880837459826,0.5019010816938931,0.010905605360986089,-0.56,False,True,mean,VERB,,es,es
6,T2T,S2T,-4.5569646315626535,<0.01,22.0,23.0,-0.06254803266146801,0.6557820875342468,0.039347794643233056,-0.95,True,True,mean,VERB,,fr,fr
7,T2T,SF2T,-4.2442791874343895,<0.01,22.0,23.0,-0.057418830621906586,0.5814580179962783,0.42148702365508084,-0.88,True,False,mean,VERB,,fr,fr
8,T2T,SM2T,-3.929985925171233,<0.01,22.0,23.0,-0.0676772347010294,0.8272971597514363,0.10884597304898175,-0.82,True,False,mean,VERB,,fr,fr
9,SF2T,SM2T,0.13307890405298234,0.9,27.0,28.0,0.0034786830749778475,8.789296671775501,1.4171214384196185e-05,0.03,False,True,mean,VERB,,en,en
10,SF2T,SM2T,0.4468890518625416,0.66,25.0,26.0,0.008039536545626245,2.8523414634160495,0.011862199966644752,0.09,False,True,mean,VERB,,es,es
11,SF2T,SM2T,-0.11205055726169623,0.91,25.0,26.0,-0.0016447537315961633,0.14069190900339867,0.7655759133229879,-0.02,False,False,mean,VERB,,fr,fr
12,T2T,S2T,-2.839071081169602,0.01,26.0,27.0,-0.12994012662051865,-0.46862996513280564,0.5188178406061009,-0.55,False,False,gini,VERB,,en,en
13,T2T,SF2T,1.1276908780630037,0.27,26.0,27.0,0.03465032809035569,1.5389196740868867,0.0002818375621979841,0.22,False,True,gini,VERB,,en,en
14,T2T,SM2T,0.588923280526939,0.56,26.0,27.0,0.022473649377349473,1.3990307870125465,0.0012863520283321053,0.11,False,True,gini,VERB,,en,en
15,T2T,S2T,-1.13333766492416,0.27,24.0,25.0,-0.06296532423518386,-1.0058508552640557,0.14549706226279654,-0.23,False,False,gini,VERB,,es,es
16,T2T,SF2T,2.51212918688193,0.02,24.0,25.0,0.1156909248780768,-0.3496550251242456,0.619213017367788,0.5,False,False,gini,VERB,,es,es
17,T2T,SM2T,1.9538024035875448,0.06,24.0,25.0,0.0946283531042615,-0.021754052441720795,0.44070029892430385,0.39,False,False,gini,VERB,,es,es
18,T2T,S2T,-0.6338970502228751,0.53,22.0,23.0,-0.02646031909343712,-0.504579968153172,0.7425428389111335,-0.13,False,False,gini,VERB,,fr,fr
19,T2T,SF2T,1.6216127104793414,0.12,22.0,23.0,0.062459077131224,-0.8039540710000801,0.25849814174586083,0.34,False,False,gini,VERB,,fr,fr
20,T2T,SM2T,1.4187989123691598,0.17,22.0,23.0,0.06223103259127824,-0.6519818114275964,0.9031207714704469,0.3,False,False,gini,VERB,,fr,fr
21,SF2T,SM2T,-0.44282284140076056,0.66,27.0,28.0,-0.011741797330398844,4.974576700716264,8.154949096859883e-08,-0.08,False,True,gini,VERB,,en,en
22,SF2T,SM2T,-0.696988349410027,0.49,25.0,26.0,-0.02010462152010832,2.646943189227473,8.725505409706191e-06,-0.14,False,True,gini,VERB,,es,es
23,SF2T,SM2T,-0.006287064045412977,1.0,25.0,26.0,-0.00020173170841356058,2.368657400136346,0.00098491458809092,-0.0,False,True,gini,VERB,,fr,fr
24,T2T,S2T,-0.16304503177635477,0.87,26.0,27.0,-0.013202297738814222,-0.45556174379454095,0.2830151260126551,-0.03,False,False,top_20_mass,VERB,,en,en
25,T2T,SF2T,-2.28542302541082,0.03,26.0,27.0,-0.22471594060313205,-0.20596550573174932,0.14099395456370856,-0.44,False,False,top_20_mass,VERB,,en,en
26,T2T,SM2T,-2.032250893621573,0.05,26.0,27.0,-0.2005309540493425,-0.2572198430047661,0.11643353350435207,-0.39,False,False,top_20_mass,VERB,,en,en
27,T2T,S2T,1.2899691334277208,0.21,24.0,25.0,0.058264671749542474,1.31413678759868,0.09811029371866821,0.26,False,False,top_20_mass,VERB,,es,es
28,T2T,SF2T,-0.9295061088711488,0.36,24.0,25.0,-0.08655387103499299,1.0810980818474123,0.00016916139694292238,-0.19,False,True,top_20_mass,VERB,,es,es
29,T2T,SM2T,-1.9872937714718364,0.06,24.0,25.0,-0.14566738604792043,1.9203445579062386,0.010079336767924357,-0.4,False,True,top_20_mass,VERB,,es,es
30,T2T,S2T,3.266856331089215,<0.01,22.0,23.0,0.2059173994477475,-0.38330129167600235,0.8220680259484083,0.68,False,False,top_20_mass,VERB,,fr,fr
31,T2T,SF2T,0.04317963065290605,0.97,22.0,23.0,0.0026363602899947087,-0.7930472442960168,0.33293309366549617,0.01,False,False,top_20_mass,VERB,,fr,fr
32,T2T,SM2T,-0.7271978310529177,0.47,22.0,23.0,-0.04672574103334246,-1.0203017201281404,0.3121143186474679,-0.15,False,False,top_20_mass,VERB,,fr,fr
33,SF2T,SM2T,0.34181426227882394,0.74,27.0,28.0,0.02332123703401129,3.8183037946662086,1.6282286499911217e-06,0.06,False,True,top_20_mass,VERB,,en,en
34,SF2T,SM2T,-0.6203582916903505,0.54,25.0,26.0,-0.05669206888926957,1.3412058105794102,0.00024029132415246546,-0.12,False,True,top_20_mass,VERB,,es,es
35,SF2T,SM2T,-0.08175102902769348,0.94,25.0,26.0,-0.005204935786029022,4.830853484010371,6.0464865452964464e-05,-0.02,False,True,top_20_mass,VERB,,fr,fr
36,T2T,S2T,-3.1254767520892,<0.01,26.0,27.0,-0.0753000377142733,0.3438873685697388,0.07886139022293837,-0.6,False,False,max,VERB,,en,en
37,T2T,SF2T,-1.5816459284689286,0.13,26.0,27.0,-0.036623583206501616,0.9701607374773951,0.07815238174911616,-0.3,False,False,max,VERB,,en,en
38,T2T,SM2T,-1.3348350818300339,0.19,26.0,27.0,-0.030286640247881965,0.7329515393665091,0.4319245261589257,-0.26,False,False,max,VERB,,en,en
39,T2T,S2T,-4.083485714607565,<0.01,24.0,25.0,-0.06344916820526122,-0.42559801382444906,0.6848234452695297,-0.82,True,False,max,VERB,,es,es
