Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
IAF_SM2T,ITF_SM2T,3.4479192893265496,<0.01,99,100,0.003572668340393706,15.31656025164596,1.8418991817891763e-14,0.34,True,True,mean
IAF_SM2T,SM2T,-4.8123733631738865,<0.01,99,100,-0.002855582795377941,19.882218806205564,2.0322909611726934e-16,-0.48,True,True,mean
IAF_SM2T,T2T,5.423697061383583,<0.01,37,38,0.0037028885339892236,-0.20231438433514093,5.305431915314581e-05,0.88,True,True,mean
ITF_SM2T,SM2T,-4.907118221059045,<0.01,99,100,-0.006428251135771648,17.956469922621658,3.270647671370777e-17,-0.49,True,True,mean
ITF_SM2T,T2T,4.243020198617688,<0.01,37,38,0.002518745487468471,4.114454244085626,5.266631626220347e-07,0.69,True,True,mean
SM2T,T2T,6.8012572886468465,<0.01,37,38,0.006636755060897457,0.2525568235466342,0.004920290858264671,1.1,True,True,mean
IAF_SM2T,ITF_SM2T,-0.06062947909532504,0.95,99,100,-0.0008117003776085135,0.6542422222175404,0.27309646661922177,-0.01,False,False,gini
IAF_SM2T,SM2T,1.2723256255101656,0.21,99,100,0.01747084010632911,0.10921091515000692,0.7960022840417421,0.13,False,False,gini
IAF_SM2T,T2T,-1.719794141524023,0.09,37,38,-0.030518673995001376,0.8994595538171137,0.5405721288972163,-0.28,False,False,gini
ITF_SM2T,SM2T,1.2195214846514435,0.23,99,100,0.018282540483937626,0.09606582370886896,0.14326390232932704,0.12,False,False,gini
ITF_SM2T,T2T,-1.0213443211355058,0.31,37,38,-0.0202210780930329,0.9904360337126241,0.6589957222006746,-0.17,False,False,gini
SM2T,T2T,-1.073230662679505,0.29,37,38,-0.02643623469634313,0.3360221354222461,0.7014994170880484,-0.17,False,False,gini
IAF_SM2T,ITF_SM2T,-0.01861026829811544,0.99,99,100,-0.00021506118891547854,0.8504544152957689,0.13683820985300146,-0.0,False,False,top_20_mass
IAF_SM2T,SM2T,1.00993904797597,0.31,99,100,0.011347750472285832,0.22244014230208276,0.419654919105226,0.1,False,False,top_20_mass
IAF_SM2T,T2T,-0.7366671211266272,0.47,37,38,-0.011681199996832611,-0.09010466543818829,0.9758819561725136,-0.12,False,False,top_20_mass
ITF_SM2T,SM2T,0.8969324841172277,0.37,99,100,0.011562811661201312,0.48586559572835997,0.38887542617377613,0.09,False,False,top_20_mass
ITF_SM2T,T2T,-0.4134807402856435,0.68,37,38,-0.006804873414032755,1.1272255066455603,0.3948604961134669,-0.07,False,False,top_20_mass
SM2T,T2T,-0.5279687719705394,0.6,37,38,-0.011426708665493073,0.26547165236431525,0.7492812959817012,-0.09,False,False,top_20_mass
IAF_SM2T,ITF_SM2T,0.3599325993973945,0.72,99,100,0.002164009027183056,1.1812231366697326,0.2061155241637977,0.04,False,False,max
IAF_SM2T,SM2T,-1.180216786553147,0.24,99,100,-0.008383702635765076,6.178728130778843,3.0304815381354966e-07,-0.12,False,True,max
IAF_SM2T,T2T,-0.6342920922785986,0.53,37,38,-0.005076710919016286,-0.18535164796640036,0.7474197759107278,-0.1,False,False,max
ITF_SM2T,SM2T,-1.4546818863626154,0.15,99,100,-0.010547711662948132,6.6390311989864585,4.1693928405379996e-07,-0.15,False,True,max
ITF_SM2T,T2T,1.0186084153007278,0.32,37,38,0.009114807863768778,2.4814492693567125,0.005995077864381939,0.17,False,True,max
SM2T,T2T,1.1012982581119335,0.28,37,38,0.012614166952277484,0.6828170947355794,0.37244102133150553,0.18,False,False,max
IAF_SM2T,ITF_SM2T,-0.1250226656474628,0.9,99,100,-0.0006761616755198807,2.6082810443188027,0.006331078279163567,-0.01,False,True,entropy
IAF_SM2T,SM2T,0.23921979335344237,0.81,99,100,0.001412202261587726,1.2824406553594097,0.033479922211426955,0.02,False,True,entropy
IAF_SM2T,T2T,1.3331068637122423,0.19,37,38,0.008349765426211663,0.2963146343078993,0.6868052144182789,0.22,False,False,entropy
ITF_SM2T,SM2T,0.31263836632948694,0.76,99,100,0.002088363937107607,1.9061161555731951,0.00039836512226749444,0.03,False,True,entropy
ITF_SM2T,T2T,-0.048302605353564676,0.96,37,38,-0.00038090142772947245,1.6840435750822964,0.0722320608870791,-0.01,False,False,entropy
SM2T,T2T,-0.23881822507041764,0.81,37,38,-0.0023971791499787522,0.5612497492821742,0.4612549569288698,-0.04,False,False,entropy
