Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,group,index
IAF_SM2T,ITF_SM2T,1.5142990037969084,0.14,51.0,52.0,0.012588639602211352,2.954905449719263,0.007812564734778043,0.21,False,True,mean,arguments,
IAF_SM2T,T2T,2.124539593875185,0.05,21.0,22.0,0.01851249285273101,0.13028167798428614,0.16492641414891834,0.45,False,False,mean,arguments,
ITF_SM2T,T2T,2.0662689288639378,0.05,29.0,30.0,0.014264394879222863,0.607685944792959,0.0026772756682244547,0.38,False,True,mean,arguments,
IAF_SM2T,ITF_SM2T,-2.530327276755381,0.01,51.0,52.0,-0.07983530012548395,-0.596641872655101,0.15954918211795396,-0.35,True,False,gini,arguments,
IAF_SM2T,T2T,-4.471598226932824,<0.01,21.0,22.0,-0.16260028576360208,-1.0227429677782836,0.4686624972107103,-0.95,True,False,gini,arguments,
ITF_SM2T,T2T,-2.046365635394302,0.05,29.0,30.0,-0.08058536747526025,-1.018325511616964,0.41547094559671904,-0.37,False,False,gini,arguments,
IAF_SM2T,ITF_SM2T,1.8489497147119194,0.07,51.0,52.0,0.08261700299250721,0.056938735652978245,0.25466936919910765,0.26,False,False,top_20_mass,arguments,
IAF_SM2T,T2T,5.593501487382149,<0.01,21.0,22.0,0.300924688993147,0.28070600103577803,0.14862252217670296,1.19,True,False,top_20_mass,arguments,
ITF_SM2T,T2T,3.2454331331952564,<0.01,29.0,30.0,0.1493950851786065,-0.3536975126594508,0.22677497572007574,0.59,True,False,top_20_mass,arguments,
IAF_SM2T,ITF_SM2T,0.5940737149983103,0.56,51.0,52.0,0.005766817684231613,1.081202200266559,0.11214085128306336,0.08,False,False,max,arguments,
IAF_SM2T,T2T,-0.24310143914171542,0.81,21.0,22.0,-0.002640749158507044,-1.4104775428996168,0.07807043525923416,-0.05,False,False,max,arguments,
ITF_SM2T,T2T,0.2526575935669707,0.8,29.0,30.0,0.0023829388238179186,0.20952892209605567,0.3171733514668153,0.05,False,False,max,arguments,
IAF_SM2T,ITF_SM2T,-2.3833467494389637,0.02,51.0,52.0,-0.1980357760743884,-0.7236135094253595,0.0012659350346835604,-0.33,False,True,entropy,arguments,
IAF_SM2T,T2T,-4.000701578705179,<0.01,21.0,22.0,-0.4583630545500764,0.014748968812356988,0.004801193355262134,-0.85,True,True,entropy,arguments,
ITF_SM2T,T2T,-2.394294793031686,0.02,29.0,30.0,-0.18230574207894523,-0.4834432538754432,0.012422011859442495,-0.44,False,True,entropy,arguments,
IAF_SM2T,ITF_SM2T,-0.5746517318873259,0.57,15.0,16.0,-0.00469579747489964,-0.5723823469241811,0.9980222098042124,-0.14,False,False,mean,clausal_structure,
IAF_SM2T,T2T,2.0516696214190704,0.09,6.0,7.0,0.015151414562049988,-1.5308398112008361,0.36456285196900634,0.78,False,False,mean,clausal_structure,
ITF_SM2T,T2T,1.9444523707996468,0.07,17.0,18.0,0.009595984716671174,0.5503002665166967,0.38519640174246605,0.46,False,False,mean,clausal_structure,
IAF_SM2T,ITF_SM2T,1.2758355618202397,0.22,15.0,16.0,0.031714136910579914,2.0591147226726436,0.0007545847782463851,0.32,False,True,gini,clausal_structure,
IAF_SM2T,T2T,-2.1215571424626902,0.08,6.0,7.0,-0.06831004563252017,-1.3354722121688347,0.022239174957786663,-0.8,False,True,gini,clausal_structure,
ITF_SM2T,T2T,-2.0010922565477656,0.06,17.0,18.0,-0.07780337628214115,1.0317894106314638,0.1720031571157457,-0.47,False,False,gini,clausal_structure,
IAF_SM2T,ITF_SM2T,-1.9433490920143304,0.07,15.0,16.0,-0.16232739277055136,0.5735146399739626,0.0024041809386701387,-0.49,False,True,top_20_mass,clausal_structure,
IAF_SM2T,T2T,2.523926458032894,0.05,6.0,7.0,0.19250739889165333,-1.4705555334344083,0.11361028962365201,0.95,False,False,top_20_mass,clausal_structure,
ITF_SM2T,T2T,1.2408701995496594,0.23,17.0,18.0,0.1034779514872532,3.5247294003860308,0.004460014963651366,0.29,False,True,top_20_mass,clausal_structure,
IAF_SM2T,ITF_SM2T,-0.23439918924213532,0.82,15.0,16.0,-0.0021920743747614324,-0.5525005809256136,0.33559025196696546,-0.06,False,False,max,clausal_structure,
IAF_SM2T,T2T,1.0244167099821422,0.35,6.0,7.0,0.009601754801613944,-0.8121775843440044,0.6333859955764185,0.39,False,False,max,clausal_structure,
ITF_SM2T,T2T,0.7238926594385788,0.48,17.0,18.0,0.006208313111629751,1.3615619466560336,0.1176002586074725,0.17,False,False,max,clausal_structure,
IAF_SM2T,ITF_SM2T,1.7360344794622187,0.1,15.0,16.0,0.23491650919069504,-0.41012065512506446,0.0011479480905701696,0.43,False,True,entropy,clausal_structure,
IAF_SM2T,T2T,-1.3108011501137509,0.24,6.0,7.0,-0.25150366791581474,-1.1117054106926407,0.0033963528031733504,-0.5,False,True,entropy,clausal_structure,
ITF_SM2T,T2T,-1.7034184980156724,0.11,17.0,18.0,-0.2125736550121498,-0.10840383513280516,0.0060262142975944346,-0.4,False,True,entropy,clausal_structure,
IAF_SM2T,T2T,3.660683284519912,0.01,8.0,9.0,0.014337094457544112,-0.5196427701526947,0.6094920270810562,1.22,True,False,mean,coordination,
ITF_SM2T,T2T,1.6576957245107102,0.13,10.0,11.0,0.01138717432111276,-0.33145923628326646,0.210923388741349,0.5,False,False,mean,coordination,
IAF_SM2T,T2T,-0.385097566369729,0.71,8.0,9.0,-0.024356918344398584,0.6333728155013292,0.2997131677991668,-0.13,False,False,gini,coordination,
ITF_SM2T,T2T,-1.75461862125844,0.11,10.0,11.0,-0.05838136138665329,-0.8442527130587316,0.20707355874707498,-0.53,False,False,gini,coordination,
IAF_SM2T,T2T,-2.235444369640027,0.06,8.0,9.0,-0.06078500098600751,-0.8245178731545941,0.5637018783887544,-0.75,False,False,top_20_mass,coordination,
ITF_SM2T,T2T,0.7086527273242389,0.49,10.0,11.0,0.052870068527445004,0.38327420490294273,0.01268115716303459,0.21,False,True,top_20_mass,coordination,
IAF_SM2T,T2T,1.6721563387694922,0.13,8.0,9.0,0.011961513198912144,1.2889395415557443,0.04266376984994504,0.56,False,True,max,coordination,
ITF_SM2T,T2T,1.0512133163199955,0.32,10.0,11.0,0.01388074593110518,0.5691362761219549,0.23108635450943893,0.32,False,False,max,coordination,
IAF_SM2T,T2T,1.7152321362280607,0.12,8.0,9.0,0.11605244463991113,0.11387398425360162,0.0033870168895575965,0.57,False,True,entropy,coordination,
ITF_SM2T,T2T,-0.5647538094349769,0.58,10.0,11.0,-0.07909241577880637,0.0868864193172616,0.009917486223833278,-0.17,False,True,entropy,coordination,
IAF_SM2T,ITF_SM2T,0.3141651391377313,0.75,93.0,94.0,0.001582150822297765,1.5754130803054869,0.022850792416978356,0.03,False,True,mean,core_structure,
