Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,pos
IAF_SM2T,ITF_SM2T,1.4270796262204828,0.16,79,80,0.009914876900913352,1.597714800123338,0.00036063584667830266,0.16,False,True,mean,NOUN
IAF_SM2T,T2T,2.048474611479074,0.05,31,32,0.016182444116887608,-0.3552337838575803,0.10481186404987336,0.36,False,False,mean,NOUN
ITF_SM2T,T2T,3.8983814935791536,<0.01,36,37,0.019805053548520676,-0.1400266383677362,0.3084044634020209,0.64,True,False,mean,NOUN
IAF_SM2T,ITF_SM2T,-3.0222658134159532,<0.01,79,80,-0.06800169046195119,-0.007623548955140169,0.06473467397293532,-0.34,True,False,gini,NOUN
IAF_SM2T,T2T,-3.915596777826049,<0.01,31,32,-0.13296110161969993,0.41737603477740093,0.13650380771516415,-0.69,True,False,gini,NOUN
ITF_SM2T,T2T,-2.6885576304330896,0.01,36,37,-0.06397188198756872,0.27892673001897483,0.24374477363839706,-0.44,True,False,gini,NOUN
IAF_SM2T,ITF_SM2T,4.47578687747029,<0.01,79,80,0.18499302666352435,0.055681722562650915,0.04609373617488933,0.5,True,True,top_20_mass,NOUN
IAF_SM2T,T2T,3.4428661338649107,<0.01,31,32,0.17775369671260738,0.4411766240651689,0.05591354674575701,0.61,True,False,top_20_mass,NOUN
ITF_SM2T,T2T,2.356291339844751,0.02,36,37,0.06879832016650529,-0.3057375821617363,0.17734891818623622,0.39,False,False,top_20_mass,NOUN
IAF_SM2T,ITF_SM2T,-0.7467412125976626,0.46,79,80,-0.0060855846968479455,0.8304500617122557,0.43622436476326754,-0.08,False,False,max,NOUN
IAF_SM2T,T2T,-1.6873850332544575,0.1,31,32,-0.015423104749061167,-0.6761761212608359,0.7335900297920002,-0.3,False,False,max,NOUN
ITF_SM2T,T2T,1.3556329080692051,0.18,36,37,0.012632400300857183,1.2687037112213622,0.0556527342144434,0.22,False,False,max,NOUN
IAF_SM2T,ITF_SM2T,-4.906461117866325,<0.01,79,80,-0.3014070127705793,-0.7960267849050586,4.2910165589432265e-06,-0.55,True,True,entropy,NOUN
IAF_SM2T,T2T,-3.8727139892053155,<0.01,31,32,-0.3016771514592633,-1.395791794483484,0.00016328855320782955,-0.68,True,True,entropy,NOUN
ITF_SM2T,T2T,-1.2847718725095632,0.21,36,37,-0.05568215842039589,5.117148072622964,7.653174360282608e-08,-0.21,False,True,entropy,NOUN
IAF_SM2T,ITF_SM2T,1.09997096503505,0.28,62,63,0.008076199460971765,7.202073834923176,1.6366789871595607e-06,0.14,False,True,mean,VERB
IAF_SM2T,T2T,1.6713647368144153,0.11,21,22,0.014217333898837253,0.9832662212127459,0.0013297515396445893,0.36,False,True,mean,VERB
ITF_SM2T,T2T,0.6062796913376599,0.55,30,31,0.0039291604419529275,6.706410561160213,0.00011000893116245924,0.11,False,True,mean,VERB
IAF_SM2T,ITF_SM2T,-1.799631557970802,0.08,62,63,-0.042479398587235546,0.11234300241293393,0.0641830605056236,-0.23,False,False,gini,VERB
IAF_SM2T,T2T,-4.45105639818809,<0.01,21,22,-0.16974452181916083,-1.1495875290879958,0.11538541156830291,-0.95,True,False,gini,VERB
ITF_SM2T,T2T,-5.725703013671067,<0.01,30,31,-0.16348236768224547,-0.5854320658236167,0.790914976657524,-1.03,True,False,gini,VERB
IAF_SM2T,ITF_SM2T,2.4466420564016533,0.02,62,63,0.09811933534312853,-0.5799045640783609,0.024610504127878886,0.31,False,True,top_20_mass,VERB
IAF_SM2T,T2T,7.5325486057729245,<0.01,21,22,0.3713215448977232,-1.0877238392641007,0.019312450227700857,1.61,True,True,top_20_mass,VERB
ITF_SM2T,T2T,1.7022791260736225,0.1,30,31,0.10195373857921701,1.5997620319642278,0.05524202755438726,0.31,False,False,top_20_mass,VERB
IAF_SM2T,ITF_SM2T,0.06751899960720383,0.95,62,63,0.0005623065970010228,7.447176373352303,3.76437203336842e-06,0.01,False,True,max,VERB
IAF_SM2T,T2T,-1.105224543265208,0.28,21,22,-0.012698113748973066,0.2090903620152802,0.40888100062431826,-0.24,False,False,max,VERB
ITF_SM2T,T2T,-1.688423026142134,0.1,30,31,-0.018368290376759345,7.2195558105742865,0.00011736677469765391,-0.3,False,True,max,VERB
IAF_SM2T,ITF_SM2T,-2.8093269820486255,0.01,62,63,-0.2145972831788322,-0.7834884794854378,4.140132890758577e-05,-0.35,True,True,entropy,VERB
IAF_SM2T,T2T,-6.100845285870431,<0.01,21,22,-0.5370298995640941,-1.2428001773433006,0.008787536705467943,-1.3,True,True,entropy,VERB
ITF_SM2T,T2T,-1.7854950884926055,0.08,30,31,-0.14199235519522616,-0.6103759151716561,0.0005631659578672734,-0.32,False,True,entropy,VERB
IAF_SM2T,ITF_SM2T,0.9523602632763356,0.35,48,49,0.004407809323434826,0.9426442755094291,0.0750217757778114,0.14,False,False,mean,ADP
IAF_SM2T,T2T,1.991945036163177,0.06,21,22,0.012742164158209397,1.715118493425721,0.3291152075483673,0.42,False,False,mean,ADP
ITF_SM2T,T2T,1.2367504723606004,0.23,27,28,0.005359961835381995,0.687611513983549,0.05812639944670223,0.23,False,False,mean,ADP
IAF_SM2T,ITF_SM2T,-0.8804641942544522,0.38,48,49,-0.022958652486115175,2.122283993707498,0.0006947275359617043,-0.13,False,True,gini,ADP
IAF_SM2T,T2T,-3.1089070711371716,0.01,21,22,-0.1406092206126429,-0.3336132752651251,0.5075585217210223,-0.66,True,False,gini,ADP
ITF_SM2T,T2T,-5.115303105685331,<0.01,27,28,-0.14873603542614436,0.7675795638756178,0.04437213143764344,-0.97,True,True,gini,ADP
IAF_SM2T,ITF_SM2T,0.7064110990840156,0.48,48,49,0.04394859517682091,-0.510837254009028,0.00866512923469499,0.1,False,True,top_20_mass,ADP
IAF_SM2T,T2T,3.3666740832812247,<0.01,21,22,0.28567052792350595,1.6249270326021454,0.0020351758234908746,0.72,True,True,top_20_mass,ADP
ITF_SM2T,T2T,1.6464850791515575,0.11,27,28,0.09251077334903571,2.033019641624958,0.0015314964655343873,0.31,False,True,top_20_mass,ADP
IAF_SM2T,ITF_SM2T,0.22741183164747947,0.82,48,49,0.0011191213056825253,0.674669964439806,0.35313571340972655,0.03,False,False,max,ADP
IAF_SM2T,T2T,-0.15466441635875544,0.88,21,22,-0.0013758944008838046,2.1145489910871866,0.17133759670848683,-0.03,False,False,max,ADP
ITF_SM2T,T2T,-0.6963932753633774,0.49,27,28,-0.004783191393861281,1.8534845379678337,0.06412654916982069,-0.13,False,False,max,ADP
IAF_SM2T,ITF_SM2T,-1.041782500034737,0.3,48,49,-0.11382974468957888,-1.3374193084965442,6.229965340412584e-06,-0.15,False,True,entropy,ADP
IAF_SM2T,T2T,-5.183149314033531,<0.01,21,22,-0.5146842545707903,-1.3912599900574747,0.0023961324593012676,-1.11,True,True,entropy,ADP
ITF_SM2T,T2T,-1.8694653305471305,0.07,27,28,-0.16582271592110903,-0.5788064020894641,7.950610767405285e-05,-0.35,False,True,entropy,ADP
IAF_SM2T,ITF_SM2T,1.6585485985140342,0.11,38,39,0.011407081915750208,6.006907270295466,6.457417076872374e-06,0.27,False,True,mean,DET
