,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,Sgpa_1,Sgpa_2
0,SM2S,SM2S,24.953034334909656,<0.01,99,100,0.14702679321741124,True,mean,True,False
1,SM2S,SF2S,13.360898449233737,<0.01,43,44,0.14241617766122416,True,mean,True,False
2,SM2S,SF2S,-24.95303344019722,<0.01,99,100,-0.14702679163557464,True,mean,False,True
3,SM2S,SF2S,-0.7259155536800512,0.47,43,44,-0.0032469575410103827,False,mean,False,False
4,SF2S,SF2S,13.360897866320162,<0.01,43,44,0.14241617470890722,True,mean,True,False
5,SM2S,SM2S,5.008822383863561,<0.01,99,100,0.09172466148641685,True,gini,True,False
6,SM2S,SF2S,1.4126038219616812,0.16,99,100,0.018663279104928866,False,gini,True,True
7,SM2S,SF2S,1.8848538168983362,0.07,43,44,0.057507677642266115,False,gini,True,False
8,SM2S,SF2S,-4.292495501272905,<0.01,99,100,-0.07306138238148799,True,gini,False,True
9,SM2S,SF2S,-1.2859969001893023,0.21,43,44,-0.022820653217985886,False,gini,False,False
10,SF2S,SF2S,1.360138660600777,0.18,43,44,0.041102245052652565,False,gini,True,False
11,SM2S,SM2S,8.596533937676035,<0.01,99,100,0.1322746050586527,True,top_20_mass,True,False
12,SM2S,SF2S,1.497448324319813,0.14,99,100,0.01962690894426952,False,top_20_mass,True,True
13,SM2S,SF2S,5.35839730128117,<0.01,43,44,0.12052952203534373,True,top_20_mass,True,False
14,SM2S,SF2S,-8.10141784074978,<0.01,99,100,-0.1126476961143832,True,top_20_mass,False,True
15,SM2S,SF2S,-0.8081017552333463,0.42,43,44,-0.011544979398753102,False,top_20_mass,False,False
16,SF2S,SF2S,4.755237065811917,<0.01,43,44,0.11024794517610412,True,top_20_mass,True,False
17,SM2S,SM2S,27.35459811104253,<0.01,99,100,0.2697459501773119,True,max,True,False
18,SM2S,SF2S,1.6042554437286929,0.11,99,100,0.018724112659692763,False,max,True,True
19,SM2S,SF2S,16.0117930849074,<0.01,43,44,0.2385390862737867,True,max,True,False
20,SM2S,SF2S,-27.217264778787428,<0.01,99,100,-0.25102183751761914,True,max,False,True
21,SM2S,SF2S,-0.9322389380429467,0.36,43,44,-0.009415772870521654,False,max,False,False
22,SF2S,SF2S,15.311061342738423,<0.01,43,44,0.22284587654708463,True,max,True,False
23,SM2S,SM2S,-13.662430762670082,<0.01,99,100,-0.13129679701465313,True,entropy,True,False
24,SM2S,SF2S,-1.481227773309867,0.14,99,100,-0.01343990765040465,False,entropy,True,True
25,SM2S,SF2S,-7.416255712969082,<0.01,43,44,-0.10315709672511848,True,entropy,True,False
26,SM2S,SF2S,13.475338141300387,<0.01,99,100,0.11785688936424847,True,entropy,False,True
27,SM2S,SF2S,1.5012077833884458,0.14,43,44,0.010391073152822783,False,entropy,False,False
28,SF2S,SF2S,-6.443236004575257,<0.01,43,44,-0.09693498419581335,True,entropy,True,False
