mode,group,mean,gini,top_20_mass,max,entropy
ALL,core_structure,0.17883458553263143,0.45034384485699913,0.4506689262502239,0.8254514932632446,0.9483637592995181
ALL,punctuation,0.16795639609701898,0.40480078137502556,0.40545676951859083,0.4285714030265808,0.9493147311816031
ALL,clausal_structure,0.16040558240880878,0.40385804164745687,0.447989685628566,0.599286675453186,0.9360420580366268
ALL,arguments,0.15880989631516562,0.4543400090074511,0.45998210991477456,0.5753998756408691,0.9375844976131827
ALL,modifiers,0.1458913921954233,0.4740694452264997,0.47637613881063157,0.9968990087509155,0.9403880634886412
ALL,function_words,0.1364879589921176,0.5107875612144193,0.511024838034484,0.8661680221557617,0.9308934031978024
ALL,coordination,0.09266330719844479,0.5237434558933092,0.5425589220943008,0.3507850468158722,0.8729204323023876
ALL,generic,0.05982572166249156,0.5725929882887031,0.631374146678363,0.2513926923274994,0.753533465811629
T2*,core_structure,0.17849409790155346,0.45748211730627375,0.4660838132438272,0.8254514932632446,0.9401880313849452
T2*,modifiers,0.16146032169195157,0.40696953802841657,0.43966992756965667,0.9968990087509155,0.9483979208581738
T2*,arguments,0.14799379464103515,0.4551289457253629,0.47070532281608785,0.5753998756408691,0.9274459640544092
T2*,clausal_structure,0.14526054409798234,0.4139993373791303,0.45176899650183977,0.599286675453186,0.9175937536820661
T2*,function_words,0.07761152088481547,0.534387549154515,0.5116003891390417,0.446740061044693,0.9052432426263327
T2*,punctuation,0.06360773433698341,0.5961566538016795,0.8057561950757447,0.24929292500019073,0.6191038420018551
T2*,coordination,0.05664703803550866,0.6267723622093366,0.6578926365780867,0.21423541009426117,0.7486446748698321
T2*,generic,0.034703785087913275,0.484438971318582,0.616935949881847,0.08564005047082901,0.6644392760868242
S2*,core_structure,0.17908049326618775,0.444169308435523,0.4372853849929432,0.6698960065841675,0.944707694913701
S2*,clausal_structure,0.17122346691654197,0.38594459795371233,0.4341935358223669,0.5323715209960938,0.9305768294648313
S2*,punctuation,0.16986521308043426,0.3993681416481629,0.40251287422323084,0.4285714030265808,0.9504174999047574
S2*,arguments,0.16792935458943248,0.44640838190341037,0.4320484250400226,0.5716850757598877,0.931523004733777
S2*,function_words,0.16532945738927574,0.46719373380782564,0.47234356401986455,0.8661680221557617,0.9387420926003631
S2*,modifiers,0.13616081126009313,0.5148267023020565,0.5033938203554232,0.6623021960258484,0.924615315623527
S2*,coordination,0.11581662308890373,0.44335495792504315,0.4870427069535949,0.3507850468158722,0.8971269318391314
S2*,generic,0.0723866899497807,0.5585203052026493,0.6195954405255895,0.2513926923274994,0.7173745686164176
*2T,core_structure,0.18489610775158835,0.4544714362122017,0.45208082994697907,0.8254514932632446,0.9422058575756025
*2T,clausal_structure,0.17268806678475812,0.3766861780935226,0.4218857272859351,0.4766436517238617,0.9360172966988609
*2T,arguments,0.16765209719999397,0.4424216222619431,0.4427555079077181,0.5753998756408691,0.9317128559679014
*2T,punctuation,0.14800426043837728,0.4437395175567088,0.45609744067443275,0.4285714030265808,0.9326855968476958
*2T,modifiers,0.14228976432101004,0.48995671764480697,0.49305433291167133,0.6623021960258484,0.9299873004307412
*2T,function_words,0.13407964707651046,0.5342118586209936,0.54467834864122,0.8661680221557617,0.9160135371782189
*2T,coordination,0.09602130082962305,0.5032554688590681,0.5486149832465289,0.3507850468158722,0.854484327915951
*2T,generic,0.0820673353349169,0.5105986741940111,0.7023865506374286,0.2513926923274994,0.7300788113235192
*2S,punctuation,0.1879085317556607,0.3592815278401351,0.37035022550567087,0.4285714030265808,0.9526116580702666
*2S,core_structure,0.1727730633136745,0.4447218958030938,0.44684673169499645,0.7793639302253723,0.9435238014561217
*2S,arguments,0.14996769543033728,0.46371883968788374,0.4777356868644054,0.5503885746002197,0.9272776480731542
*2S,modifiers,0.14949302006983659,0.4575212391772428,0.4604664376267909,0.9968990087509155,0.937207605827584
*2S,clausal_structure,0.14812309803285947,0.4223732128717858,0.46112617897589436,0.599286675453186,0.912909874557519
*2S,function_words,0.13889627090772474,0.4854112956294579,0.48210530670637247,0.6000000238418579,0.9298468010773384
*2S,coordination,0.08930531356726652,0.5326890461186037,0.5300711710715371,0.2755204439163208,0.8348793813504836
*2S,generic,0.03758410799006621,0.582588837173856,0.8401590175533217,0.10741101205348969,0.6269941625344195
T2T,core_structure,0.18725730174198474,0.4508906088732515,0.46395487675707814,0.8254514932632446,0.9348048387634387
T2T,arguments,0.16180938665570996,0.44903994966945937,0.46882521282288997,0.5753998756408691,0.9175392158041191
T2T,modifiers,0.15316945338887827,0.39959109541393933,0.42944227342749497,0.5544548034667969,0.9437393136249467
