mode,importance,mean,gini,top_20_mass,max,entropy
TOTAL_AVERAGE,1,0.17883458553263143,0.45034384485699913,0.4506689262502239,0.8254514932632446,0.9483637592995181
TOTAL_AVERAGE,6,0.16795639609701898,0.40480078137502556,0.40545676951859083,0.4285714030265808,0.9493147311816031
TOTAL_AVERAGE,2,0.16040558240880878,0.40385804164745687,0.447989685628566,0.599286675453186,0.9360420580366268
TOTAL_AVERAGE,3,0.15880989631516562,0.4543400090074511,0.45998210991477456,0.5753998756408691,0.9375844976131827
TOTAL_AVERAGE,4,0.1436026571977043,0.47729622307705,0.47905220354054867,0.9968990087509155,0.9399905004907784
TOTAL_AVERAGE,5,0.13527931470786803,0.5130100544218525,0.5135652844930144,0.8661680221557617,0.9305750663675634
T2T,1,0.18725730174198474,0.4508906088732515,0.46395487675707814,0.8254514932632446,0.9348048387634387
T2T,3,0.16180938665570996,0.44903994966945937,0.46882521282288997,0.5753998756408691,0.9175392158041191
T2T,4,0.15066086018846914,0.4042147934131377,0.43652755120858966,0.5544548034667969,0.9429678704131151
T2T,2,0.13590150666423143,0.32370424514543605,0.3773481241621914,0.38438019156455994,0.9330521655102804
T2T,6,0.11312483126918475,0.4271234264508026,0.734565883850879,0.24929292500019073,0.6836957173783985
T2T,5,0.06277958746302573,0.5414901321040276,0.5115250453854213,0.37691664695739746,0.8895825103312464
T2S,1,0.16973089406112216,0.46258045512717244,0.47321466376836646,0.7793639302253723,0.9307601969404845
T2S,4,0.1648495403722256,0.4262902920281228,0.46039301958485057,0.9968990087509155,0.9363037995463738
T2S,2,0.15461958153173327,0.4768948259985452,0.517180560664875,0.599286675453186,0.8694836420233695
T2S,3,0.13417820262636038,0.45105000188811545,0.4824695290027761,0.5503885746002197,0.916648379314686
T2S,5,0.08993197342102735,0.5227643322636242,0.5107493233189788,0.446740061044693,0.8969157159061628
T2S,6,0.014090637404782077,0.3071828284198284,0.5049439587478675,0.021344946697354317,0.766394605048189
T2*,1,0.17849409790155346,0.45748211730627375,0.4660838132438272,0.8254514932632446,0.9401880313849452
T2*,4,0.15775520028034737,0.4162882613501434,0.4451809712044234,0.9968990087509155,0.9464272377864198
T2*,3,0.14799379464103515,0.4551289457253629,0.47070532281608785,0.5753998756408691,0.9274459640544092
T2*,2,0.14526054409798234,0.4139993373791303,0.45176899650183977,0.599286675453186,0.9175937536820661
T2*,5,0.07635578044202654,0.5388478692467135,0.5173300895253162,0.446740061044693,0.9040204302742664
T2*,6,0.06360773433698341,0.5961566538016795,0.8057561950757447,0.24929292500019073,0.6191038420018551
SM2T,2,0.1817988215812615,0.34702903429251575,0.4015848224167398,0.3858915865421295,0.9177377739701541
SM2T,5,0.1755033949953749,0.4610185426251789,0.49113054560291497,0.7618615627288818,0.925451905940179
SM2T,3,0.17139183890585805,0.4569674512283747,0.47731937796965557,0.5716850757598877,0.9027333385970593
SM2T,1,0.16935350442283423,0.47499139850658395,0.466982497309924,0.6273147463798523,0.9202952877570663
SM2T,6,0.1546603115729806,0.4305548722174045,0.45058057064299784,0.4285714030265808,0.9276341098501332
SM2T,4,0.1406601568049719,0.5464451884746874,0.5453163486542864,0.6623021960258484,0.8940189066915596
SM2S,6,0.1861879277815361,0.3703082989500178,0.3818006606837902,0.41305530071258545,0.9418971705079091
SM2S,1,0.17863153060898185,0.4257737249474529,0.43071009756784545,0.5999999642372131,0.9352198478364222
SM2S,3,0.17202215229033255,0.4395266824665491,0.45931481949458736,0.49713557958602905,0.9097689540528375
SM2S,5,0.15557281404739784,0.4575029665856869,0.4611581142660357,0.6000000238418579,0.9244052122051827
SM2S,4,0.1377211928271271,0.5147374105036171,0.49631012201018976,0.6468824148178101,0.902569103255914
SM2S,2,0.1283449094210352,0.382016350332554,0.3989817232733251,0.2610763907432556,0.8836114765362888
SF2T,2,0.21612954073186433,0.3721120320489172,0.4026526954485895,0.4766436517238617,0.9002242410401167
SF2T,1,0.19702809753865874,0.4353630662230001,0.4400680371296381,0.6047661900520325,0.9337346922254921
SF2T,3,0.1737647693531186,0.40811661266807564,0.4249781203380817,0.4243902564048767,0.9196502430313221
SF2T,5,0.16001943032269514,0.5061277046870926,0.5130253893995123,0.8661680221557617,0.9093173103840098
SF2T,6,0.14262428598069563,0.4538850909421781,0.4742452695759248,0.34677448868751526,0.9161888643122194
SF2T,4,0.12691195714849465,0.5359064706153559,0.5280614109493237,0.6000000238418579,0.8972565325027001
SF2S,6,0.19598832698652474,0.32651025318938093,0.36044650742907897,0.4285714030265808,0.9539079422808124
SF2S,1,0.17130884049427614,0.4336131429896119,0.43881424272302927,0.6698960065841675,0.9305074010580646
SF2S,5,0.1655427590135093,0.44169670751166745,0.4459245341435628,0.529411792755127,0.9284707076453493
SF2S,2,0.15862059593200684,0.32581218980118776,0.41105212855753587,0.5323715209960938,0.8961210252306242
SF2S,3,0.15453865780842072,0.4729640443270238,0.4807202929883073,0.43897634744644165,0.8972815938484782
SF2S,4,0.13358955868551958,0.44966710225837636,0.44178099107527413,0.393236368894577,0.9246113450266772
S2T,2,0.19896418115656292,0.3678417427303132,0.41468273636935316,0.4766436517238617,0.9261977207424709
