,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
0,ALL,T2*,-0.35539512487575553,0.72,99,100,-0.0036517423623008112,False
1,ALL,S2*,3.302946202139806,<0.01,99,100,0.024350537002726585,False
2,ALL,*2T,-3.0125890107712974,<0.01,99,100,-0.010422024794366505,False
3,ALL,*2S,5.240319898923881,<0.01,99,100,0.02065020549837258,True
4,ALL,T2T,0.3804004008571306,0.7,99,100,0.004174848884053107,False
5,ALL,T2S,1.4707343960912447,0.14,99,100,0.018518111958176642,False
6,ALL,S2T,1.2555670939634027,0.21,99,100,0.011127107222491151,False
7,ALL,SF2T,2.35065323926532,0.02,99,100,0.0245479525889046,False
8,ALL,SM2T,2.6592839848527454,0.01,99,100,0.028346940285441283,False
9,ALL,S2S,6.844303526412682,<0.01,99,100,0.053776103020832515,True
10,ALL,SF2S,7.986930777580178,<0.01,99,100,0.07705760561470602,True
11,ALL,SM2S,5.622905499871034,<0.01,99,100,0.05839432650977717,True
12,T2*,S2*,1.604593292737549,0.11,99,100,0.028002279365027388,False
13,T2*,S2T,0.7989962432353287,0.43,99,100,0.014778849584791965,False
14,T2*,SF2T,1.5077727968400674,0.13,99,100,0.028199694951205414,False
15,T2*,SM2T,1.6501044200074608,0.1,99,100,0.03199868264774208,False
16,T2*,S2S,3.3639143847582473,<0.01,99,100,0.05742784538313332,False
17,T2*,SF2S,4.583804180689306,<0.01,99,100,0.08070934797700684,True
18,T2*,SM2S,3.398050144955483,<0.01,99,100,0.06204606887207796,False
19,S2*,T2T,-1.1621489162910048,0.25,99,100,-0.020175688118673478,False
20,S2*,T2S,-0.30659957620367384,0.76,99,100,-0.005832425044549949,False
21,*2T,*2S,4.217504400451898,<0.01,99,100,0.03107223029273908,True
22,*2T,T2S,1.9833556023178351,0.05,99,100,0.028940136752543148,False
23,*2T,S2S,6.971397606832691,<0.01,99,100,0.06419812781519901,True
24,*2T,SF2S,8.297509905503924,<0.01,99,100,0.08747963040907253,True
25,*2T,SM2S,5.871994102847157,<0.01,99,100,0.06881635130414367,True
26,*2S,T2T,-1.3568638292809025,0.18,99,100,-0.01647535661431947,False
27,*2S,S2T,-0.8417623637885348,0.4,99,100,-0.009523098275881423,False
28,*2S,SF2T,0.30730090606948374,0.76,99,100,0.003897747090532027,False
29,*2S,SM2T,0.6228883639356668,0.53,99,100,0.0076967347870686995,False
30,T2T,T2S,1.0988423657928765,0.27,99,100,0.014343263074123534,False
31,T2T,S2T,0.373728052172085,0.71,99,100,0.006952258338438045,False
32,T2T,SF2T,1.1007144250154914,0.27,99,100,0.02037310370485149,False
33,T2T,SM2T,1.2158096354446035,0.23,99,100,0.024172091401388165,False
34,T2T,S2S,2.949238692697693,<0.01,99,100,0.049601254136779405,False
35,T2T,SF2S,4.258602047350502,<0.01,99,100,0.07288275673065292,True
36,T2T,SM2S,2.949930841406355,<0.01,99,100,0.05421947762572406,False
37,T2S,S2T,-0.3736508259470748,0.71,99,100,-0.007391004735685489,False
38,T2S,SF2T,0.2967899572566814,0.77,99,100,0.006029840630727964,False
39,T2S,SM2T,0.48570133825636636,0.63,99,100,0.00982882832726464,False
40,T2S,S2S,1.8713723910794555,0.06,99,100,0.035257991062655876,False
41,T2S,SF2S,2.966357868583622,<0.01,99,100,0.05853949365652939,False
42,T2S,SM2S,2.052784073780099,0.04,99,100,0.03987621455160052,False
43,S2T,S2S,4.971795493422201,<0.01,99,100,0.04264899579834136,True
44,S2T,SF2S,6.183518240613738,<0.01,99,100,0.06593049839221489,True
45,S2T,SM2S,4.24336493370218,<0.01,99,100,0.047267219287286014,True
46,SF2T,SM2T,0.2856630598637962,0.78,99,100,0.0037989876965366727,False
47,SF2T,S2S,2.7440311057586415,0.01,99,100,0.02922815043192791,False
48,SF2T,SF2S,4.266643227790828,<0.01,99,100,0.05250965302580142,True
49,SF2T,SM2S,2.6572566377103097,0.01,99,100,0.033846373920872565,False
50,SM2T,S2S,2.47435863928381,0.02,99,100,0.02542916273539124,False
51,SM2T,SF2S,4.065780640867354,<0.01,99,100,0.048710665329264755,True
52,SM2T,SM2S,2.379858535994361,0.02,99,100,0.03004738622433589,False
53,SF2S,SM2S,-1.4126038219616812,0.16,99,100,-0.018663279104928866,False
