Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
ALL,T2*,14.929886453376081,<0.01,342,343,0.11295319066733209,True
ALL,S2*,8.39144264558365,<0.01,404,405,0.04088602427761128,True
ALL,*2T,11.734449501646074,<0.01,422,423,0.047384630066912896,True
ALL,*2S,11.730323979647505,<0.01,422,423,0.054147465500196806,True
ALL,T2T,19.143793286559315,<0.01,342,343,0.15890263404585855,True
ALL,T2S,20.10749767654602,<0.01,342,343,0.15913731668792047,True
ALL,S2T,14.6613141359422,<0.01,404,405,0.0891166357829431,True
ALL,SF2T,19.889090261224098,<0.01,404,405,0.1343283296459251,True
ALL,SM2T,19.61831008374426,<0.01,404,405,0.13182083424180746,True
ALL,S2S,13.970325638846576,<0.01,404,405,0.09342503616655315,True
ALL,SF2S,18.35720082664349,<0.01,404,405,0.13940955900506657,True
ALL,SM2S,19.071990732547874,<0.01,404,405,0.13623404155174892,True
T2*,S2*,-5.89095233530599,<0.01,324,325,-0.06825878328142258,True
T2*,S2T,-1.7653592174908828,0.08,324,325,-0.021166019700467588,False
T2*,SF2T,2.1344948483698167,0.03,324,325,0.024759690010776887,False
T2*,SM2T,2.1696948121949884,0.03,324,325,0.02591031144158198,False
T2*,S2S,-0.6371022974382767,0.52,324,325,-0.006986266891830243,False
T2*,SF2S,3.8973167222763045,<0.01,324,325,0.04340433662900558,True
T2*,SM2S,3.674223818741917,<0.01,324,325,0.038874862156808375,True
S2*,T2T,10.744485699516462,<0.01,324,325,0.11573399411872602,True
S2*,T2S,9.976559951158922,<0.01,324,325,0.11292548919132409,True
*2T,*2S,0.9585805854174091,0.34,422,423,0.006762835433283913,False
*2T,T2S,11.873392195364719,<0.01,342,343,0.11302813586443608,True
*2T,S2S,5.827370364620343,<0.01,404,405,0.04475223873052056,True
*2T,SF2S,11.329391474737966,<0.01,404,405,0.09073676156903399,True
*2T,SM2S,11.537850930024016,<0.01,404,405,0.08756124411571634,True
*2S,T2T,10.767868199769369,<0.01,342,343,0.09610483253513172,True
*2S,S2T,4.410256774195109,<0.01,404,405,0.03583292688852475,True
*2S,SF2T,10.012543946131292,<0.01,404,405,0.08104462075150676,True
*2S,SM2T,9.608907008179786,<0.01,404,405,0.07853712534738912,True
T2T,T2S,0.031500085121180646,0.97,342,343,0.0002346826420619041,False
T2T,S2T,-6.0638542474254935,<0.01,324,325,-0.06864123053777103,True
T2T,SF2T,-2.110649878774629,0.04,324,325,-0.02271552082652656,False
T2T,SM2T,-1.895734341030944,0.06,324,325,-0.021564899395721464,False
T2T,S2S,-5.4013064477251,<0.01,324,325,-0.054461477729133685,True
T2T,SF2S,-0.3960148342646174,0.69,324,325,-0.004070874208297867,False
T2T,SM2S,-0.8759076002328919,0.38,324,325,-0.008600348680495069,False
T2S,S2T,-5.554085756381493,<0.01,324,325,-0.0658327256103691,True
T2S,SF2T,-1.7194361797292321,0.09,324,325,-0.019907015899124626,False
T2S,SM2T,-1.6049923848543326,0.11,324,325,-0.01875639446831953,False
T2S,S2S,-4.860373703617702,<0.01,324,325,-0.051652972801731756,True
T2S,SF2S,-0.11644766984535232,0.91,324,325,-0.0012623692808959347,False
T2S,SM2S,-0.5580190606692342,0.58,324,325,-0.005791843753093137,False
S2T,S2S,0.5666544203386271,0.57,404,405,0.004308400383610049,False
S2T,SF2S,6.421990357982798,<0.01,404,405,0.050292923222123476,True
S2T,SM2S,6.134997592130452,<0.01,404,405,0.04711740576880582,True
SF2T,SM2T,-0.37552530370835313,0.71,404,405,-0.002507495404117637,False
SF2T,S2S,-5.458321407297496,<0.01,404,405,-0.04090329347937195,True
SF2T,SF2S,0.665767212804112,0.51,404,405,0.0050812293591414705,False
SF2T,SM2S,0.2500878112643308,0.8,404,405,0.0019057119058238136,False
SM2T,S2S,-5.086630292289805,<0.01,404,405,-0.03839579807525432,True
SM2T,SF2S,0.9661385204493627,0.33,404,405,0.007588724763259108,False
SM2T,SM2S,0.5850834402498964,0.56,404,405,0.004413207309941451,False
SF2S,SM2S,-0.4721098508737928,0.64,404,405,-0.003175517453317657,False
