Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
T2*,S2*,-5.879589437275936,<0.01,319,320,-0.06901467374700587,True
T2*,S2T,-1.7823262272270524,0.08,319,320,-0.021598281725891864,False
T2*,SF2T,2.043806979746299,0.04,319,320,0.023989400500431655,False
T2*,SM2T,2.1000072657131015,0.04,319,320,0.025330303647206166,False
T2*,S2S,-0.6862786623923752,0.49,319,320,-0.007636643412115518,False
T2*,SF2S,3.7717439848805325,<0.01,319,320,0.04265998328628484,True
T2*,SM2S,3.614650771092227,<0.01,319,320,0.038663935687509365,True
S2*,T2T,10.72950659884606,<0.01,319,320,0.11698108332857374,True
S2*,T2S,9.86702725473077,<0.01,319,320,0.11323418670108368,True
*2T,*2S,0.8445987714187284,0.4,417,418,0.006011235715406969,False
*2T,T2S,11.777054818555108,<0.01,337,338,0.11308817985328465,True
*2T,S2S,5.726072959134889,<0.01,399,400,0.04443264249537606,True
*2T,SF2S,11.144640771887252,<0.01,399,400,0.09028690786741209,True
*2T,SM2S,11.413910403226827,<0.01,399,400,0.0875550563755678,True
*2S,T2T,10.85489200273176,<0.01,337,338,0.09779093913339938,True
*2S,S2T,4.463777319111482,<0.01,399,400,0.036623534909449515,True
*2S,SF2T,9.971204288291284,<0.01,399,400,0.08155588158639147,True
*2S,SM2T,9.609185221555096,<0.01,399,400,0.07915488509461284,True
T2T,T2S,-0.08087199395944247,0.94,337,338,-0.0006087179679407039,False
T2T,S2T,-6.071309653949915,<0.01,319,320,-0.06956469130745972,True
T2T,SF2T,-2.1996742843610178,0.03,319,320,-0.023977009081136202,False
T2T,SM2T,-1.9650173094772156,0.05,319,320,-0.022636105934361696,False
T2T,S2S,-5.445305208580375,<0.01,319,320,-0.05560305299368338,True
T2T,SF2S,-0.5097472149637337,0.61,319,320,-0.005306426295283018,False
T2T,SM2S,-0.9362054368099775,0.35,319,320,-0.009302473894058494,False
T2S,S2T,-5.493020751660854,<0.01,319,320,-0.06581779467996966,True
T2S,SF2T,-1.726554805070366,0.09,319,320,-0.020230112453646143,False
T2S,SM2T,-1.6010881710985312,0.11,319,320,-0.018889209306871636,False
T2S,S2S,-4.804392388828608,<0.01,319,320,-0.05185615636619332,True
T2S,SF2S,-0.14151350451753308,0.89,319,320,-0.0015595296677929581,False
T2S,SM2S,-0.5295680400237048,0.6,319,320,-0.005555577266568435,False
S2T,S2S,0.5220393584148749,0.6,399,400,0.004010516882408411,False
S2T,SF2S,6.298201131743029,<0.01,399,400,0.049864782254444434,True
S2T,SM2S,6.06964272385391,<0.01,399,400,0.04713293076260015,True
SF2T,SM2T,-0.3577003742716588,0.72,399,400,-0.002400996491778642,False
SF2T,S2S,-5.403307001284963,<0.01,399,400,-0.04092182979453355,True
SF2T,SF2S,0.6393778924673419,0.52,399,400,0.004932435577502474,False
SF2T,SM2S,0.28575179879524903,0.78,399,400,0.0022005840856581926,False
SM2T,S2S,-5.063613806234088,<0.01,399,400,-0.03852083330275491,True
SM2T,SF2S,0.9264209573134686,0.35,399,400,0.007333432069281116,False
SM2T,SM2S,0.6049212570024637,0.55,399,400,0.0046015805774368345,False
SF2S,SM2S,-0.4022682811123403,0.69,399,400,-0.0027318514918442814,False
