Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj
T2*,S2*,-2.1016396939278947,0.04,99,100,-0.04037010505795479,False
T2*,S2T,-1.1349234383813154,0.26,99,100,-0.021764997839927674,False
T2*,SF2T,1.2586843519277189,0.21,99,100,0.02161432147026062,False
T2*,SM2T,1.1647172795264926,0.25,99,100,0.02147370934486389,False
T2*,S2S,1.4705920141002855,0.14,99,100,0.025331332385540008,False
T2*,SF2S,4.957117318746474,<0.01,99,100,0.07671147719025612,True
T2*,SM2S,3.3962699208755596,<0.01,99,100,0.05798736453056336,False
S2*,T2T,5.445349451212505,<0.01,99,100,0.09049770385026931,True
S2*,T2S,4.48114181592901,<0.01,99,100,0.08715676486492158,True
*2T,*2S,2.2315863207073585,0.03,99,100,0.030007699429988863,False
*2T,T2S,6.639624852103905,<0.01,99,100,0.10644213855266571,True
*2T,S2S,6.875726992512045,<0.01,99,100,0.08498681113123893,True
*2T,SF2S,11.776643017761621,<0.01,99,100,0.13636695593595505,True
*2T,SM2S,8.465003817923797,<0.01,99,100,0.11764284327626229,True
*2S,T2T,6.132889328345741,<0.01,99,100,0.0797753781080246,True
*2S,S2T,0.49199725468502586,0.62,99,100,0.007882781475782395,False
*2S,SF2T,3.3402720741753815,<0.01,99,100,0.05126210078597069,False
*2S,SM2T,3.500261938157706,<0.01,99,100,0.051121488660573956,False
T2T,T2S,-0.25360973016738675,0.8,99,100,-0.0033409389853477477,False
T2T,S2T,-4.272139996532184,<0.01,99,100,-0.0718925966322422,True
T2T,SF2T,-1.9372332054498982,0.06,99,100,-0.028513277322053908,False
T2T,SM2T,-1.7138659673742571,0.09,99,100,-0.028653889447450637,False
T2T,S2S,-1.6734289021864004,0.1,99,100,-0.02479626640677452,False
T2T,SF2S,2.001627086024785,0.05,99,100,0.026583878397941588,False
T2T,SM2S,0.5216153637015571,0.6,99,100,0.007859765738248824,False
T2S,S2T,-3.5622513907264284,<0.01,99,100,-0.06855165764689446,True
T2S,SF2T,-1.4272991015833014,0.16,99,100,-0.025172338336706162,False
T2S,SM2T,-1.4087421062570964,0.16,99,100,-0.02531295046210289,False
T2S,S2S,-1.220682673864579,0.23,99,100,-0.02145532742142677,False
T2S,SF2S,1.826606251272365,0.07,99,100,0.029924817383289337,False
T2S,SM2S,0.683685363143051,0.5,99,100,0.011200704723596572,False
S2T,S2S,4.20262988582435,<0.01,99,100,0.047096330225467685,True
S2T,SF2S,8.404684052033767,<0.01,99,100,0.0984764750301838,True
S2T,SM2S,6.024282408337134,<0.01,99,100,0.07975236237049103,True
SF2T,SM2T,-0.010988083702784252,0.99,99,100,-0.0001406121253967285,False
SF2T,S2S,0.32359176834807757,0.75,99,100,0.0037170109152793885,False
SF2T,SF2S,4.92321020427665,<0.01,99,100,0.055097155719995496,True
SF2T,SM2S,2.859785687441354,0.01,99,100,0.036373043060302736,False
SM2T,S2S,0.3745008784074227,0.71,99,100,0.003857623040676117,False
SM2T,SF2S,5.120750011886591,<0.01,99,100,0.05523776784539223,True
SM2T,SM2S,2.9428978914871298,<0.01,99,100,0.03651365518569946,False
SF2S,SM2S,-1.6042554437286929,0.11,99,100,-0.018724112659692763,False
