,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
0,ALL,T2*,3.7346595009898396,<0.01,342,343,0.01666730727748827,1.271148971449822,6.3934351915042784e-06,0.2,True,True,mean
1,ALL,S2*,-3.365068111837711,<0.01,404,405,-0.007287910748179758,1.1284578692451568,2.243743372792253e-08,-0.17,False,True,mean
2,ALL,*2T,0.26314603771971773,0.79,422,423,0.0005491848727962413,4.309432766557451,4.679905631175195e-13,0.01,False,True,mean
3,ALL,*2S,-0.26314603771971856,0.79,422,423,-0.000549184872796243,4.309432766557449,4.679905631176043e-13,-0.01,False,True,mean
4,ALL,T2T,3.576252528863765,<0.01,342,343,0.018239450063668793,1.1397425480015055,8.762702982268651e-05,0.19,True,True,mean
5,ALL,T2S,2.6084229743921092,0.01,342,343,0.01509516449130775,4.40590648995637,1.3263561197454215e-11,0.14,False,True,mean
6,ALL,S2T,-1.8874070329026829,0.06,404,405,-0.00716243282710484,3.5834151650584456,3.018462612638042e-11,-0.09,False,True,mean
7,ALL,SF2T,-1.3743905629092383,0.17,404,405,-0.006522876232296726,1.7761107843745476,7.006991004464955e-08,-0.07,False,True,mean
8,ALL,SM2T,-1.589673251802859,0.11,404,405,-0.007801989421912956,3.52165462914052,6.830765517711598e-12,-0.08,False,True,mean
9,ALL,S2S,-2.2629774216014575,0.02,404,405,-0.0074133886692546724,2.5551291719659233,6.05444580353512e-10,-0.11,False,True,mean
10,ALL,SF2S,-1.3196246357048096,0.19,404,405,-0.005941369181531024,2.4578134617422167,3.393247364799644e-07,-0.07,False,True,mean
11,ALL,SM2S,-1.9621038793174423,0.05,404,405,-0.008885408156978318,3.432326146607312,9.142471927136344e-10,-0.1,False,True,mean
12,T2*,S2*,-3.6513626601745908,<0.01,324,325,-0.02667227768981932,0.6239192784791716,0.01428783485367134,-0.2,True,True,mean
13,T2*,S2T,-3.7369939571583277,<0.01,324,325,-0.031460330036167744,0.8333406632542388,0.0014822129729812803,-0.21,True,True,mean
14,T2*,SF2T,-3.677586369645916,<0.01,324,325,-0.03280101736214425,0.5888746959756679,0.03895588848979161,-0.2,True,True,mean
15,T2*,SM2T,-3.2499588298512414,<0.01,324,325,-0.030119642710191245,0.9603176815004546,0.00037066407902217817,-0.18,False,True,mean
16,T2*,S2S,-2.8857090776449117,<0.01,324,325,-0.021884225343470887,1.2062005045308668,0.0005093638253892695,-0.16,False,True,mean
17,T2*,SF2S,-2.3178155223419106,0.02,324,325,-0.019763717005122285,1.4280415738321954,4.1456548231772226e-05,-0.13,False,True,mean
18,T2*,SM2S,-2.874198951009236,<0.01,324,325,-0.024004733681819494,0.7105897397760224,0.022725384521563016,-0.16,False,True,mean
19,S2*,T2T,3.9271397704899624,<0.01,324,325,0.029754908204004473,0.3487002992013637,0.009571762749229823,0.22,True,True,mean
20,S2*,T2S,2.815391839690705,0.01,324,325,0.023589647175634155,1.9915603894037988,5.173287280561083e-07,0.16,False,True,mean
21,*2T,*2S,-0.263146037719718,0.79,422,423,-0.0010983697455924839,4.309432766557451,4.679905631175618e-13,-0.01,False,True,mean
22,*2T,T2S,2.7125440660609876,0.01,342,343,0.019102833206776464,4.774312700988701,7.766896208180565e-11,0.15,False,True,mean
23,*2T,S2S,-1.8645784345194003,0.06,404,405,-0.009129228527632618,3.780134474343498,1.5207285055515537e-12,-0.09,False,True,mean
24,*2T,SF2S,-1.3271858808630326,0.19,404,405,-0.007657209039908971,2.5673123526080737,9.369228912035284e-09,-0.07,False,True,mean
25,*2T,SM2S,-1.8188558488540674,0.07,404,405,-0.010601248015356264,3.6544662929294907,1.708262656804855e-11,-0.09,False,True,mean
26,*2S,T2T,2.3920487360687726,0.02,342,343,0.014231781348200072,2.598862860181943,5.128929246919685e-07,0.13,False,True,mean
