,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
0,ALL,T2*,6.822173524616661,<0.01,99,100,0.010991326828591951,2.0760203229301757,2.8019760931615883e-12,0.68,True,True,mean
1,ALL,S2*,-6.288216256921486,<0.01,99,100,-0.007496769269593544,4.4005767859437155,2.9753526668883147e-13,-0.63,True,True,mean
2,ALL,T2T,6.822173140278215,<0.01,99,100,0.010991326582368465,2.0760206482133796,2.801987414356141e-12,0.68,True,True,mean
3,ALL,T2S,6.82217390895457,<0.01,99,100,0.01099132707481544,2.0760199976464175,2.8019903058984864e-12,0.68,True,True,mean
4,ALL,S2T,-6.28821634997152,<0.01,99,100,-0.007496769331794896,4.400577029229694,2.9753620850901525e-13,-0.63,True,True,mean
5,ALL,SF2T,-6.288215708622784,<0.01,99,100,-0.007496768764637003,4.400577312769312,2.9753725139299027e-13,-0.63,True,True,mean
6,ALL,SM2T,-6.288216991319538,<0.01,99,100,-0.007496769898952788,4.400576745687527,2.975376060127782e-13,-0.63,True,True,mean
7,ALL,S2S,-6.288216163871154,<0.01,99,100,-0.007496769207392189,4.4005765426566645,2.975362149478994e-13,-0.63,True,True,mean
8,ALL,SF2S,-6.288215138339107,<0.01,99,100,-0.007496768416473885,4.400576818192007,2.9753777058963826e-13,-0.63,True,True,mean
9,ALL,SM2S,-6.288217189402606,<0.01,99,100,-0.007496769998310494,4.400576267119239,2.975374190199849e-13,-0.63,True,True,mean
10,T2*,S2*,-6.61062412538649,<0.01,99,100,-0.018488096098185497,2.9139008860403006,1.2100018570937262e-12,-0.66,True,True,mean
11,T2*,S2T,-6.6106241688144145,<0.01,99,100,-0.018488096160386845,2.913900972909661,1.2100028730350435e-12,-0.66,True,True,mean
12,T2*,SF2T,-6.6106238960491135,<0.01,99,100,-0.01848809559322895,2.9139010475533835,1.2100042468823277e-12,-0.66,True,True,mean
13,T2*,SM2T,-6.610624441579577,<0.01,99,100,-0.01848809672754474,2.9139008982656085,1.2100041521788461e-12,-0.66,True,True,mean
14,T2*,S2S,-6.610624081958507,<0.01,99,100,-0.018488096035984142,2.913900799170798,1.2100023547781565e-12,-0.66,True,True,mean
15,T2*,SF2S,-6.610623641130732,<0.01,99,100,-0.018488095245065835,2.9139008899426706,1.2100040128608854e-12,-0.66,True,True,mean
16,T2*,SM2S,-6.610624522786165,<0.01,99,100,-0.018488096826902445,2.9139007083986748,1.210003769748036e-12,-0.66,True,True,mean
17,S2*,T2T,6.610623903017379,<0.01,99,100,0.01848809585196201,2.9139011140322317,1.2100036515355996e-12,0.66,True,True,mean
18,S2*,T2S,6.6106243477554285,<0.01,99,100,0.018488096344408983,2.913900658048079,1.210004447862569e-12,0.66,True,True,mean
19,*2T,T2S,6.822174100829886,<0.01,99,100,0.010991327186822634,2.0760199204750585,2.802001117456893e-12,0.68,True,True,mean
20,*2T,S2S,-6.2882159128848585,<0.01,99,100,-0.007496769095384992,4.400576725014292,2.975376922864593e-13,-0.63,True,True,mean
21,*2T,SF2S,-6.288214887352779,<0.01,99,100,-0.007496768304466685,4.400577000549341,2.9753893873562533e-13,-0.63,True,True,mean
22,*2T,SM2S,-6.2882169384163396,<0.01,99,100,-0.007496769886303296,4.400576449477155,2.9753835981117947e-13,-0.63,True,True,mean
23,*2S,T2T,6.8221729484023585,<0.01,99,100,0.010991326470361268,2.0760207253841116,2.8019975926903247e-12,0.68,True,True,mean
24,*2S,S2T,-6.288216600957189,<0.01,99,100,-0.007496769443802089,4.400576846869684,2.9753765533170105e-13,-0.63,True,True,mean
25,*2S,SF2T,-6.288215959608477,<0.01,99,100,-0.0074967688766441965,4.400577130409336,2.9753836807357374e-13,-0.63,True,True,mean
26,*2S,SM2T,-6.288217242305188,<0.01,99,100,-0.007496770010959982,4.400576563327497,2.9753872037153767e-13,-0.63,True,True,mean
27,T2T,S2T,-6.610623946445306,<0.01,99,100,-0.01848809591416336,2.9139012009016314,1.2100040942241801e-12,-0.66,True,True,mean
28,T2T,SF2T,-6.610623673680006,<0.01,99,100,-0.01848809534700547,2.913901275545375,1.2100051038921017e-12,-0.66,True,True,mean
29,T2T,SM2T,-6.610624219210469,<0.01,99,100,-0.018488096481321256,2.913901126257551,1.2100055124481853e-12,-0.66,True,True,mean
30,T2T,S2S,-6.610623859589395,<0.01,99,100,-0.018488095789760656,2.9139010271627006,1.2100044373960065e-12,-0.66,True,True,mean
31,T2T,SF2S,-6.6106234187616195,<0.01,99,100,-0.01848809499884235,2.913901117934519,1.2100061517527024e-12,-0.66,True,True,mean
32,T2T,SM2S,-6.610624300417051,<0.01,99,100,-0.01848809658067896,2.9139009363906263,1.2100051821024515e-12,-0.66,True,True,mean
33,T2S,S2T,-6.610624391183351,<0.01,99,100,-0.01848809640661033,2.9139007449174086,1.2100055183003636e-12,-0.66,True,True,mean
34,T2S,SF2T,-6.61062411841805,<0.01,99,100,-0.01848809583945244,2.9139008195611,1.210006532410306e-12,-0.66,True,True,mean
35,T2S,SM2T,-6.6106246639485144,<0.01,99,100,-0.018488096973768228,2.913900670273379,1.210006705767259e-12,-0.66,True,True,mean
36,T2S,S2S,-6.610624304327449,<0.01,99,100,-0.018488096282207628,2.913900571178611,1.210004490325968e-12,-0.66,True,True,mean
37,T2S,SF2S,-6.610623863499675,<0.01,99,100,-0.01848809549128932,2.913900661950535,1.2100055807912757e-12,-0.66,True,True,mean
38,T2S,SM2S,-6.610624745155107,<0.01,99,100,-0.018488097073125934,2.9139004804064337,1.2100062422548616e-12,-0.66,True,True,mean
39,ALL,T2*,-0.35539512487575553,0.72,99,100,-0.0036517423623008112,1.1867679571928829,2.192163031082222e-05,-0.04,False,True,gini
40,ALL,S2*,3.302946202139806,<0.01,99,100,0.024350537002726585,3.3448655627445953,1.5629682832277786e-11,0.33,False,True,gini
41,ALL,*2T,-3.0125890107712974,<0.01,99,100,-0.010422024794366505,0.8403264161668611,0.17518603074626143,-0.3,False,False,gini
42,ALL,*2S,5.240319898923881,<0.01,99,100,0.02065020549837258,0.48220452332979713,0.02931001804924221,0.52,True,True,gini
43,ALL,T2T,0.3804004008571306,0.7,99,100,0.004174848884053107,0.9179392880461323,0.0023933934231843315,0.04,False,True,gini
44,ALL,T2S,1.4707343960912447,0.14,99,100,0.018518111958176642,0.44175264421702876,0.0617368295093264,0.15,False,False,gini
45,ALL,S2T,1.2555670939634027,0.21,99,100,0.011127107222491151,1.2679965961950153,5.127628550570146e-08,0.13,False,True,gini
46,ALL,SF2T,2.35065323926532,0.02,99,100,0.0245479525889046,-0.12434673628409909,0.13534228510747456,0.24,False,False,gini
47,ALL,SM2T,2.6592839848527454,0.01,99,100,0.028346940285441283,-0.5888802836486624,0.0851601454064243,0.27,False,False,gini
48,ALL,S2S,6.844303526412682,<0.01,99,100,0.053776103020832515,0.4445842978065748,0.0003437383880710649,0.68,True,True,gini
49,ALL,SF2S,7.986930777580178,<0.01,99,100,0.07705760561470602,-0.552318259028147,0.5861831226283296,0.8,True,False,gini
50,ALL,SM2S,5.622905499871034,<0.01,99,100,0.05839432650977717,-0.3740069377082902,0.5787736005519527,0.56,True,False,gini
