condition,speech,metric,n_samples,n_deletions,mean_top_drop,mean_non_top_drop,mean_top_minus_non_top,paired_t,paired_p_one_sided,cohen_dz,spearman_abs_sv_vs_drop,mean_within_sample_spearman
SM2S-1k (male TTS),TTS,embedding,94,658,0.4996909283577128,0.49450994045176405,-0.004939174877554532,-0.2078538581846859,0.5821012117084956,-0.021438488451800963,,
SM2S-1k (male TTS),TTS,tfidf,94,658,0.3208730152960298,0.3445995410382847,-0.047840762669696564,-2.1228297798448232,0.981787824182194,-0.21895317271019818,,
SM2S-1k (male TTS),TTS,seqmatch,94,658,0.29638800966519013,0.3012667454992845,-0.022660114229094586,-1.0684817462151062,0.8559655720330663,-0.11020547689262099,,
SM2F-1k (female TTS),TTS,embedding,100,708,0.5017822265625,0.4956584227712531,-0.0019674504597981795,-0.09867348479704191,0.5392014804112908,-0.009867348430216506,,
SM2F-1k (female TTS),TTS,tfidf,100,708,0.3000654071729846,0.3347894069029019,-0.061629041448228866,-2.832551074740249,0.9972022684844841,-0.2832551061721475,,
SM2F-1k (female TTS),TTS,seqmatch,100,708,0.26569748089695927,0.29502877518051795,-0.04817553710705787,-2.450615305542025,0.9919922989993384,-0.24506152930761232,,
SO2S-1k (orig TTS),TTS,embedding,99,703,0.5448674673985954,0.5031898890110041,0.03281435994779297,1.4599202527021977,0.07375515559387964,0.1467275054667658,,
SO2S-1k (orig TTS),TTS,tfidf,99,703,0.41146654339157973,0.37530865968650684,0.017181891458957568,0.6512954343408948,0.25819007278006745,0.06545765379245398,,
SO2S-1k (orig TTS),TTS,seqmatch,99,703,0.3619648422710688,0.3351324494460963,0.011201956041076128,0.4890741842023869,0.31294099112662277,0.049153804743359605,,
SO2S-500 (LibriSpeech),natural,embedding,100,468,0.6288311767578125,0.5762325784434443,0.05136070760091146,2.1279626033045114,0.01791164912326053,0.2127962594487996,,
SO2S-500 (LibriSpeech),natural,tfidf,100,468,0.593055801108065,0.48199170685585024,0.10746766248630074,2.989453232363586,0.0017626923163310043,0.29894532240477534,,
SO2S-500 (LibriSpeech),natural,seqmatch,100,468,0.5123668545442899,0.4406258417017284,0.06815198692181217,2.42216150119648,0.008623667587949387,0.24221614925879761,,
