condition,speech,metric,n_samples,aopc_sv_order,aopc_single_mean,mean_final_cumulative_drop
SM2S-1k (male TTS),TTS,embedding,94,0.580835474588226,0.4952500815811853,0.7461043012903091
SM2S-1k (male TTS),TTS,tfidf,94,0.6643641237623374,0.34121003736081984,0.9338246929492338
SM2S-1k (male TTS),TTS,seqmatch,94,0.5561134314175517,0.300569783237271,0.7388930715457888
SM2F-1k (female TTS),TTS,embedding,100,0.6015488514370388,0.49652336680956477,0.7318112182617188
SM2F-1k (female TTS),TTS,tfidf,100,0.6517509623719282,0.3298848871670379,0.9358353175461397
SM2F-1k (female TTS),TTS,seqmatch,100,0.5534343821350443,0.29088593700487403,0.7419053133070983
SO2S-1k (orig TTS),TTS,embedding,99,0.6134308320657554,0.5090591354695696,0.7440936541316485
SO2S-1k (orig TTS),TTS,tfidf,99,0.7272545327955684,0.38040059494511597,0.935899555494946
SO2S-1k (orig TTS),TTS,seqmatch,99,0.5946761796208065,0.33891112211988333,0.7379203863460295
SO2S-500 (LibriSpeech),natural,embedding,100,0.6165956786700657,0.5874715951772836,0.7955973815917968
SO2S-500 (LibriSpeech),natural,tfidf,100,0.7083733065144004,0.5057233509268363,0.8883804614165062
SO2S-500 (LibriSpeech),natural,seqmatch,100,0.6000246168638725,0.455955117950139,0.7183313957595686
