sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,6,63,6,1.0,1.0000000000000007
1,6,0,0,0.8541810512542725,0.7635417155709339
1,6,1,1,0.799715518951416,0.496138938356834
1,6,2,1,0.793601393699646,0.6052275326688025
1,6,4,1,0.8149605989456177,0.6405126152203487
1,6,8,1,0.8047915101051331,0.6527139518645056
1,6,16,1,0.8811683654785156,0.5229763603684909
1,6,32,1,0.8739216923713684,0.7337993857053429
1,6,3,2,0.799715518951416,0.496138938356834
1,6,5,2,0.7835697531700134,0.5262348115842178
1,6,9,2,0.940083920955658,0.8744746321952065
1,6,17,2,0.8526078462600708,0.6201736729460425
1,6,33,2,0.7945972681045532,0.5661385170722981
1,6,6,2,0.8121941089630127,0.6527139518645056
1,6,10,2,0.8058199286460876,0.6201736729460424
1,6,18,2,0.8736142516136169,0.5384615384615388
1,6,34,2,0.8712649941444397,0.7190924955066749
1,6,12,2,0.8118884563446045,0.6240377207533829
1,6,20,2,0.8736142516136169,0.5384615384615388
1,6,36,2,0.8127655386924744,0.6153846153846158
1,6,24,2,0.8895421028137207,0.7635417155709339
1,6,40,2,0.8999662399291992,0.7844645405527362
1,6,48,2,0.8811683654785156,0.5229763603684909
1,6,7,3,0.8642770648002625,0.7205766921228923
1,6,11,3,0.936693549156189,0.8461538461538467
1,6,19,3,0.9198876619338989,0.9230769230769237
1,6,35,3,0.7945972681045532,0.5661385170722981
1,6,13,3,0.8940929174423218,0.7472647177570735
1,6,21,3,0.8526078462600708,0.6201736729460425
1,6,37,3,0.7945972681045532,0.5661385170722981
1,6,25,3,0.9953621029853821,0.9607689228305231
1,6,41,3,0.936693549156189,0.8461538461538467
1,6,49,3,0.8340093493461609,0.364646449272488
1,6,14,3,0.8141059279441833,0.6201736729460424
1,6,22,3,0.8736142516136169,0.5384615384615388
1,6,38,3,0.8287160396575928,0.7190924955066749
1,6,26,3,0.8522788286209106,0.5188745216627711
1,6,42,3,0.8999662399291992,0.7844645405527362
1,6,50,3,0.8736142516136169,0.5384615384615388
1,6,28,3,0.8503676652908325,0.496138938356834
1,6,44,3,0.8715330362319946,0.6933752452815366
1,6,52,3,0.8736142516136169,0.5384615384615388
1,6,56,3,0.8522788286209106,0.5188745216627711
1,6,15,4,0.905032753944397,0.726273039202563
1,6,23,4,0.913567304611206,0.8682431421244595
1,6,39,4,0.8610111474990845,0.5547001962252293
1,6,27,4,0.9930745363235474,0.9302605094190638
1,6,43,4,0.9237967133522034,0.8498365855987975
1,6,51,4,0.8808322548866272,0.6689936080056728
1,6,29,4,0.8987099528312683,0.8062257748298552
1,6,45,4,0.8439921140670776,0.5547001962252293
1,6,53,4,0.8526078462600708,0.6201736729460425
1,6,57,4,1.0,1.0000000000000007
1,6,30,4,0.8522788286209106,0.5188745216627711
1,6,46,4,0.9002633690834045,0.7472647177570735
1,6,54,4,0.8736142516136169,0.5384615384615388
1,6,58,4,0.8522788286209106,0.5188745216627711
1,6,60,4,0.8537194728851318,0.5188745216627711
1,6,31,5,0.9032801389694214,0.8682431421244595
1,6,47,5,0.936693549156189,0.8461538461538467
1,6,55,5,0.8895959854125977,0.6054055145966813
1,6,59,5,1.0,1.0000000000000007
1,6,61,5,0.9105563759803772,0.9230769230769237
1,6,62,5,0.8522788286209106,0.5188745216627711
2,6,63,6,1.0,1.0000000000000002
2,6,0,0,0.8011975288391113,0.42640143271122094
2,6,1,1,0.8546537756919861,0.7272727272727274
2,6,2,1,0.8224753141403198,0.3344968040028364
2,6,4,1,0.8867840766906738,0.4181210050035455
2,6,8,1,0.7987959384918213,0.25087260300212727
2,6,16,1,0.8528968095779419,0.6396021490668313
2,6,32,1,0.8546537756919861,0.7272727272727274
2,6,3,2,0.8529466390609741,0.7272727272727274
2,6,5,2,0.8867840766906738,0.4181210050035455
2,6,9,2,0.8449782729148865,0.8181818181818183
2,6,17,2,0.8610662221908569,0.6784005252999683
2,6,33,2,0.8555306196212769,0.7272727272727274
2,6,6,2,0.8867840766906738,0.4181210050035455
2,6,10,2,0.8062323331832886,0.4181210050035455
2,6,18,2,0.8382234573364258,0.3344968040028364
2,6,34,2,0.8546537756919861,0.7272727272727274
2,6,12,2,0.8882175087928772,0.4181210050035455
2,6,20,2,0.8863558769226074,0.3344968040028364
2,6,36,2,0.904207706451416,0.8040302522073697
2,6,24,2,0.935996413230896,0.5017452060042545
2,6,40,2,0.8438920378684998,0.8181818181818183
2,6,48,2,0.8327218890190125,0.5393598899705935
2,6,7,3,0.9307237863540649,0.8528028654224418
2,6,11,3,0.8808895945549011,0.8181818181818183
2,6,19,3,0.8610662221908569,0.6784005252999683
2,6,35,3,0.8555306196212769,0.7272727272727274
2,6,13,3,0.9343625903129578,0.9090909090909093
2,6,21,3,0.9310081005096436,0.7537783614444092
2,6,37,3,0.9255906343460083,0.9045340337332909
2,6,25,3,0.9361757636070251,0.5017452060042545
2,6,41,3,0.8449782729148865,0.8181818181818183
