sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,4,15,4,1.000000238418579,1.0000000000000002
1,4,0,0,0.7967275381088257,0.18181818181818182
1,4,1,1,0.8849310874938965,0.7272727272727273
1,4,2,1,0.9646406173706055,0.8528028654224418
1,4,4,1,0.9400076866149902,0.9045340337332909
1,4,8,1,0.8727402687072754,0.3223291856101522
1,4,3,2,0.9704980850219727,0.9045340337332909
1,4,5,2,0.8553293943405151,0.7035264706814485
1,4,9,2,0.9086083173751831,0.7833494518006403
1,4,6,2,0.9346781373023987,0.8040302522073697
1,4,10,2,0.9811847805976868,0.9045340337332909
1,4,12,2,0.8712342977523804,0.3481553119113957
1,4,7,3,1.000000238418579,1.0000000000000002
1,4,11,3,0.9765034914016724,0.8581163303210334
1,4,13,3,0.8727402687072754,0.3223291856101522
1,4,14,3,0.995672881603241,0.9534625892455927
6,4,15,4,0.9999998807907104,1.0000000000000002
6,4,0,0,0.8147652745246887,0.18181818181818182
6,4,1,1,0.8000198006629944,0.18181818181818182
6,4,2,1,0.8095585107803345,0.18181818181818182
6,4,4,1,0.8324171304702759,0.2611164839335468
6,4,8,1,0.8392622470855713,0.7462025072446365
6,4,3,2,0.8632745146751404,0.2727272727272727
6,4,5,2,0.868265688419342,0.3344968040028364
6,4,9,2,0.7990001440048218,0.18181818181818182
6,4,6,2,0.8837144374847412,0.8581163303210334
6,4,10,2,0.9012608528137207,0.6674238124719148
6,4,12,2,0.9785171747207642,0.9045340337332909
6,4,7,3,0.8632745146751404,0.2727272727272727
6,4,11,3,0.9126406908035278,0.8181818181818183
6,4,13,3,0.9967624545097351,0.9534625892455927
6,4,14,3,0.985169529914856,0.9534625892455927
11,4,15,4,1.0000001192092896,1.0000000000000002
11,4,0,0,0.801056981086731,0.2727272727272727
11,4,1,1,0.9454677700996399,0.8528028654224418
11,4,2,1,0.8379436135292053,0.30151134457776363
11,4,4,1,0.8417397737503052,0.36363636363636365
11,4,8,1,0.8758793473243713,0.36363636363636365
11,4,3,2,0.9718289375305176,0.9045340337332909
11,4,5,2,0.9520896673202515,0.9045340337332909
11,4,9,2,0.9772229194641113,0.9045340337332909
11,4,6,2,0.9252251982688904,0.9045340337332909
11,4,10,2,0.9524625539779663,0.9045340337332909
11,4,12,2,0.9427536129951477,0.9045340337332909
11,4,7,3,0.9753311276435852,0.9534625892455927
11,4,11,3,0.99393630027771,0.9534625892455927
11,4,13,3,0.9849082827568054,0.9534625892455927
11,4,14,3,0.9586894512176514,0.9534625892455927
26,4,15,4,0.9999999403953552,1.0000000000000007
26,4,0,0,0.8756731748580933,0.8058229640253805
26,4,1,1,0.894334077835083,0.848668424791506
26,4,2,1,0.8541250228881836,0.8017837257372732
26,4,4,1,0.8667618036270142,0.8017837257372732
26,4,8,1,0.9235979318618774,0.925820099772552
26,4,3,2,0.9156819581985474,0.8894991799933217
26,4,5,2,0.8235501050949097,0.2672612419124244
26,4,9,2,0.9235979318618774,0.925820099772552
26,4,6,2,0.8169204592704773,0.3857583749052299
26,4,10,2,0.8909484148025513,0.848668424791506
26,4,12,2,0.9765476584434509,0.925820099772552
26,4,7,3,0.9186872243881226,0.3380617018914068
26,4,11,3,0.880573570728302,0.42257712736425845
26,4,13,3,0.9853497743606567,0.9636241116594318
26,4,14,3,0.9397455453872681,0.42257712736425845
32,4,15,4,1.0000001192092896,1.0000000000000002
32,4,0,0,0.8323598504066467,0.1611645928050761
32,4,1,1,0.8610137701034546,0.2611164839335468
32,4,2,1,0.8850293159484863,0.3481553119113957
32,4,4,1,0.8508831858634949,0.31691986353433615
32,4,8,1,0.9126496315002441,0.3481553119113957
32,4,3,2,0.9163812398910522,0.3481553119113957
32,4,5,2,0.9215903878211975,0.4181210050035455
32,4,9,2,0.8936746716499329,0.3481553119113957
32,4,6,2,0.945675790309906,0.8581163303210334
32,4,10,2,0.9938878417015076,0.9534625892455927
32,4,12,2,0.9126496315002441,0.3481553119113957
32,4,7,3,0.9809132814407349,0.9090909090909093
32,4,11,3,0.969571590423584,0.9090909090909093
32,4,13,3,0.9007216095924377,0.4029114820126903
32,4,14,3,0.9938878417015076,0.9534625892455927
33,4,15,4,1.0,1.0000000000000007
33,4,0,0,0.8626489639282227,0.8058229640253805
33,4,1,1,0.8901456594467163,0.8864052604279185
33,4,2,1,0.8988186120986938,0.8864052604279185
33,4,4,1,0.8901456594467163,0.8864052604279185
33,4,8,1,0.9237158298492432,0.8864052604279185
33,4,3,2,0.9235847592353821,0.925820099772552
33,4,5,2,0.8950855135917664,0.8571428571428573
33,4,9,2,0.9353847503662109,0.925820099772552
33,4,6,2,0.8772351145744324,0.35634832254989923
33,4,10,2,0.9344461560249329,0.925820099772552
33,4,12,2,0.97085040807724,0.925820099772552
33,4,7,3,0.9255238175392151,0.8970852271450608
33,4,11,3,0.9482812881469727,0.9636241116594318
33,4,13,3,0.9812490344047546,0.9636241116594318
33,4,14,3,0.9372092485427856,0.42257712736425845
35,4,15,4,1.0,1.0000000000000002
35,4,0,0,0.8659172654151917,0.7462025072446365
35,4,1,1,0.8643511533737183,0.8040302522073697
35,4,2,1,0.8747583627700806,0.1672484020014182
35,4,4,1,0.7950568199157715,0.17407765595569785
35,4,8,1,0.8805444836616516,0.3481553119113957
35,4,3,2,0.9674342274665833,0.9534625892455927
35,4,5,2,0.8180047273635864,0.2611164839335468
35,4,9,2,0.9321683645248413,0.9534625892455927
35,4,6,2,0.8747583627700806,0.1672484020014182
35,4,10,2,0.9860666394233704,0.8581163303210334
35,4,12,2,0.8805444836616516,0.3481553119113957
35,4,7,3,0.9526872634887695,0.9090909090909093
35,4,11,3,1.0,1.0000000000000002
35,4,13,3,0.9321683645248413,0.9534625892455927
35,4,14,3,0.9860666394233704,0.8581163303210334
38,5,31,5,0.9999998807907104,1.0000000000000002
38,5,0,0,0.8873361945152283,0.7144345083117604
38,5,1,1,0.8548840284347534,0.3333333333333334
38,5,2,1,0.9164312481880188,0.8164965809277261
38,5,4,1,0.8156427145004272,0.17407765595569785
38,5,8,1,0.8222692608833313,0.17407765595569785
38,5,16,1,0.8984066843986511,0.3333333333333334
38,5,3,2,0.9299876689910889,0.8660254037844388
38,5,5,2,0.8485209941864014,0.25000000000000006
38,5,9,2,0.8794406056404114,0.7302967433402217
38,5,17,2,0.9675353765487671,0.912870929175277
38,5,6,2,0.9491654634475708,0.912870929175277
38,5,10,2,0.9968578815460205,0.957427107756338
38,5,18,2,0.9730832576751709,0.912870929175277
38,5,12,2,0.8734791874885559,0.3333333333333334
38,5,20,2,0.9583135843276978,0.8660254037844388
38,5,24,2,0.9822725057601929,0.912870929175277
