sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,4,15,4,1.000000238418579,1.0000000000000002
1,4,0,0,0.9301121830940247,0.8181818181818183
1,4,1,1,0.9180600643157959,0.7627700713964741
1,4,2,1,0.9151064157485962,0.8181818181818183
1,4,4,1,0.8663100004196167,0.30151134457776363
1,4,8,1,0.9301121830940247,0.8181818181818183
1,4,3,2,0.9765034914016724,0.8581163303210334
1,4,5,2,0.9372296333312988,0.9090909090909093
1,4,9,2,0.9180600643157959,0.7627700713964741
1,4,6,2,1.000000238418579,1.0000000000000002
1,4,10,2,0.9260802268981934,0.7784989441615231
1,4,12,2,0.8663100004196167,0.30151134457776363
1,4,7,3,1.000000238418579,1.0000000000000002
1,4,11,3,0.9765034914016724,0.8581163303210334
1,4,13,3,0.9323381781578064,0.9090909090909093
1,4,14,3,1.000000238418579,1.0000000000000002
6,4,15,4,0.9999998807907104,1.0000000000000002
6,4,0,0,0.8019399642944336,0.18181818181818182
6,4,1,1,0.8632745146751404,0.2727272727272727
6,4,2,1,0.8052537441253662,0.24174688920761417
6,4,4,1,0.8380589485168457,0.2611164839335468
6,4,8,1,0.9314365983009338,0.8040302522073697
6,4,3,2,0.8632745146751404,0.2727272727272727
6,4,5,2,0.868265688419342,0.3344968040028364
6,4,9,2,0.9693524837493896,0.9045340337332909
6,4,6,2,0.8912826776504517,0.8581163303210334
6,4,10,2,0.9571534395217896,0.8581163303210334
6,4,12,2,0.9785171747207642,0.9045340337332909
6,4,7,3,0.8858425617218018,0.4029114820126903
6,4,11,3,0.9999998807907104,1.0000000000000002
6,4,13,3,0.9516381621360779,0.4181210050035455
6,4,14,3,0.985169529914856,0.9534625892455927
11,4,15,4,1.0,1.0000000000000002
11,4,0,0,0.7922588586807251,0.2461829819586655
11,4,1,1,0.9348631501197815,0.7272727272727274
11,4,2,1,0.8221679925918579,0.25087260300212727
11,4,4,1,0.8712118268013,0.7627700713964741
11,4,8,1,0.9403287172317505,0.9090909090909093
11,4,3,2,0.969377875328064,0.8181818181818183
11,4,5,2,0.9213927984237671,0.8181818181818183
11,4,9,2,0.9573593139648438,0.9090909090909093
11,4,6,2,0.8503185510635376,0.381385035698237
11,4,10,2,0.8780567049980164,0.40201512610368484
11,4,12,2,0.9586895108222961,0.9534625892455927
11,4,7,3,0.9747802019119263,0.9090909090909093
11,4,11,3,0.993004560470581,1.0000000000000002
11,4,13,3,1.0,1.0000000000000002
11,4,14,3,0.9512335062026978,0.9534625892455927
26,4,15,4,1.0,1.0000000000000007
26,4,0,0,0.8442267775535583,0.6900655593423545
26,4,1,1,0.8299674987792969,0.24174688920761417
26,4,2,1,0.7980076670646667,0.23145502494313797
26,4,4,1,0.9356429576873779,0.42257712736425845
26,4,8,1,0.8343613147735596,0.3857583749052299
26,4,3,2,0.879936695098877,0.3857583749052299
26,4,5,2,0.9487505555152893,0.48349377841522834
26,4,9,2,0.8371877074241638,0.3380617018914068
26,4,6,2,0.9439532160758972,0.48349377841522834
26,4,10,2,0.8511083126068115,0.3223291856101522
26,4,12,2,0.985349714756012,0.9636241116594318
26,4,7,3,0.9439532160758972,0.48349377841522834
26,4,11,3,0.9854174256324768,0.9285714285714293
26,4,13,3,0.985349714756012,0.9636241116594318
26,4,14,3,0.9439532160758972,0.48349377841522834
32,4,15,4,1.0,1.0000000000000002
32,4,0,0,0.9049582481384277,0.7272727272727274
32,4,1,1,0.9007214903831482,0.4029114820126903
32,4,2,1,0.945675790309906,0.8581163303210334
32,4,4,1,0.8659129738807678,0.2611164839335468
32,4,8,1,0.8741526007652283,0.25087260300212727
32,4,3,2,0.9547750949859619,0.9090909090909093
32,4,5,2,0.9457097053527832,0.9090909090909093
32,4,9,2,0.8824973106384277,0.3223291856101522
32,4,6,2,0.9430554509162903,0.9090909090909093
32,4,10,2,0.9695716500282288,0.9090909090909093
32,4,12,2,0.9396353363990784,0.8581163303210334
32,4,7,3,0.9547750949859619,0.9090909090909093
32,4,11,3,1.0,1.0000000000000002
32,4,13,3,0.9457097053527832,0.9090909090909093
32,4,14,3,1.0,1.0000000000000002
33,4,15,4,1.0,1.0000000000000007
33,4,0,0,0.8691317439079285,0.07008963186092283
33,4,1,1,0.9235846996307373,0.925820099772552
33,4,2,1,0.891982913017273,0.848668424791506
33,4,4,1,0.91936194896698,0.8894991799933217
33,4,8,1,0.9344462752342224,0.925820099772552
33,4,3,2,0.9128209948539734,0.8894991799933217
33,4,5,2,0.9255238175392151,0.8970852271450608
33,4,9,2,0.9482812881469727,0.9636241116594318
33,4,6,2,0.8911281824111938,0.848668424791506
33,4,10,2,0.9344462752342224,0.925820099772552
33,4,12,2,0.9877061247825623,0.9636241116594318
33,4,7,3,0.9122095108032227,0.8894991799933217
33,4,11,3,0.9482812881469727,0.9636241116594318
33,4,13,3,1.0,1.0000000000000007
33,4,14,3,0.9788558483123779,0.8504200642707616
35,4,15,4,1.0,1.0000000000000002
35,4,0,0,0.8561547994613647,0.7526178090063819
35,4,1,1,0.8631125092506409,0.7833494518006402
35,4,2,1,0.9512487649917603,0.836242010007091
35,4,4,1,0.8532038927078247,0.7526178090063819
35,4,8,1,0.928570568561554,0.7627700713964741
35,4,3,2,0.9479155540466309,0.9090909090909093
35,4,5,2,0.8631125092506409,0.7833494518006402
35,4,9,2,0.930509626865387,0.9090909090909093
35,4,6,2,0.9479155540466309,0.9090909090909093
35,4,10,2,1.0,1.0000000000000002
35,4,12,2,0.9375290274620056,0.9090909090909093
35,4,7,3,0.9479155540466309,0.9090909090909093
35,4,11,3,1.0,1.0000000000000002
35,4,13,3,0.930509626865387,0.9090909090909093
35,4,14,3,1.0,1.0000000000000002
38,5,31,5,0.9999999403953552,1.0000000000000002
38,5,0,0,0.8655902147293091,0.7144345083117604
38,5,1,1,0.8298710584640503,0.298142396999972
38,5,2,1,0.8971841335296631,0.6405126152203487
38,5,4,1,0.9198399782180786,0.3857583749052299
38,5,8,1,0.9039345979690552,0.7205766921228923
38,5,16,1,0.9698919057846069,0.8703882797784891
38,5,3,2,0.9999999403953552,1.0000000000000002
38,5,5,2,0.9999999403953552,1.0000000000000002
38,5,9,2,0.9902034997940063,1.0000000000000002
38,5,17,2,0.9980871677398682,1.0000000000000002
38,5,6,2,0.9968578815460205,0.957427107756338
38,5,10,2,0.9821362495422363,0.916666666666667
38,5,18,2,0.9868319630622864,0.916666666666667
