sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,cumulative_similarity,cumulative_drop,cumulative_n_deleted,tfidf_original_sim,tfidf_deleted_sim,tfidf_deletion_drop,tfidf_cumulative_sim,tfidf_cumulative_drop,seqmatch_deleted_sim,seqmatch_deletion_drop,seqmatch_cumulative_sim,seqmatch_cumulative_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
32,32,audio__original,AND NOW I SAID,4,0,1,AND,0.0559414563079675,0.0559414563079675,0.3053338295466363,0.0559414563079675,0.0089900034169356,1.1914744203193413,0.3053338295466363,0.9894034758658332,0.0902809797974033,0.99609375,0.19921875,0.796875,0.625,0.37109375,1,1.0,0.5604485383178052,0.4395514616821948,0.5833333333333335,0.4166666666666665,0.5,0.5,0.6,0.4,0.503,0.6835625,0.1805625,2.0201634452496364
32,32,audio__original,AND NOW I SAID,4,2,2,I,0.0469514528910319,0.0469514528910319,0.2562655293611915,0.0559414563079675,0.0089900034169356,1.1914744203193413,0.3053338295466363,0.9894034758658332,0.0902809797974033,0.99609375,0.7109375,0.28515625,0.6640625,0.33203125,2,1.0,1.0000000000000002,-2.220446049250313e-16,0.5833333333333335,0.4166666666666665,1.0,0.0,0.6,0.4,1.1259375,1.306875,0.1809375,2.0201634452496364
32,32,audio__original,AND NOW I SAID,4,3,3,SAID,0.0461753349130352,0.0461753349130352,0.2520294030598466,0.0559414563079675,0.0089900034169356,1.1914744203193413,0.3053338295466363,0.9894034758658332,0.0902809797974033,0.99609375,0.2392578125,0.7568359375,0.77734375,0.21875,3,1.0,0.2611164839335468,0.7388835160664532,0.0,1.0,0.4565217391304347,0.5434782608695652,0.2828282828282828,0.7171717171717171,1.3873125,1.74925,0.3619375,2.0201634452496364
32,32,audio__original,AND NOW I SAID,4,1,4,NOW,0.034145833691582,0.034145833691582,0.1863712325742296,0.0559414563079675,0.0089900034169356,1.1914744203193413,0.3053338295466363,0.9894034758658332,0.0902809797974033,0.99609375,0.6484375,0.34765625,0.06591796875,0.93017578125,4,1.0,0.6622661785325221,0.3377338214674779,0.1666666666666667,0.8333333333333333,0.5,0.5,0.3061224489795918,0.6938775510204082,0.743875,1.0053125,0.2614375,2.0201634452496364
60,60,audio__original,AT YOUR SERVICE SIR,4,0,1,AT,0.0392853021621704,0.0392853021621704,0.3264508717364033,0.0392853021621704,0.0049198139458894,1.1431614406803985,0.3264508717364033,0.9769842999449688,0.1381288699463532,0.99609375,0.42578125,0.5703125,0.6015625,0.39453125,1,1.0,0.241746889207614,0.7582531107923859,0.0,1.0,0.4680851063829787,0.5319148936170213,0.2891566265060241,0.7108433734939759,0.7224375,0.7724375,0.05,2.09034764649914
60,60,audio__original,AT YOUR SERVICE SIR,4,2,2,SERVICE,0.0343654882162809,0.0343654882162809,0.285568468826872,0.0392853021621704,0.0049198139458894,1.1431614406803985,0.3264508717364033,0.9769842999449688,0.1381288699463532,0.99609375,0.154296875,0.841796875,0.36328125,0.6328125,2,1.0,0.3223291856101521,0.6776708143898479,0.080582296402538,0.919417703597462,0.4854368932038835,0.5145631067961165,0.231578947368421,0.7684210526315789,1.12425,1.566,0.44175,2.09034764649914
60,60,audio__original,AT YOUR SERVICE SIR,4,3,3,SIR,0.0271690831120525,0.0271690831120525,0.2257681722695022,0.0392853021621704,0.0049198139458894,1.1431614406803985,0.3264508717364033,0.9769842999449688,0.1381288699463532,0.99609375,0.50390625,0.4921875,0.400390625,0.595703125,3,1.0,0.0741249316661101,0.92587506833389,0.0,1.0,0.2696629213483146,0.7303370786516854,0.2795698924731182,0.7204301075268817,1.7265625,2.16825,0.4416875,2.09034764649914
60,60,audio__original,AT YOUR SERVICE SIR,4,1,4,YOUR,0.0195207512006163,0.0195207512006163,0.1622124788574767,0.0392853021621704,0.0049198139458894,1.1431614406803985,0.3264508717364033,0.9769842999449688,0.1381288699463532,0.99609375,0.48828125,0.5078125,0.10107421875,0.89501953125,4,1.0,0.3223291856101521,0.6776708143898479,0.1543033499620919,0.8456966500379081,0.4791666666666667,0.5208333333333333,0.1782178217821782,0.8217821782178218,0.8430625,1.0038125,0.16075,2.09034764649914
113,113,audio__original,EVER YOUR'S W H,4,3,1,H,0.0469248313456773,0.0469248313456773,0.4336500135790574,0.0469248313456773,0.0184479258954525,1.647820539344674,0.4336500135790574,0.9071839447761544,0.2714960471724916,0.9921875,0.5546875,0.4375,0.177734375,0.814453125,1,1.0,1.0000000000000004,-4.440892098500626e-16,0.7337993857053431,0.2662006142946569,1.0,0.0,0.5333333333333333,0.4666666666666667,2.87375,2.92375,0.05,2.024630526750116
113,113,audio__original,EVER YOUR'S W H,4,0,2,EVER,0.0284769054502248,0.0284769054502248,0.2631657926313915,0.0469248313456773,0.0184479258954525,1.647820539344674,0.4336500135790574,0.9071839447761544,0.2714960471724916,0.9921875,0.474609375,0.517578125,0.296875,0.6953125,2,1.0,0.7337993857053431,0.2662006142946569,0.3418817293789139,0.6581182706210861,0.4444444444444444,0.5555555555555556,0.2388059701492537,0.7611940298507462,0.4425,0.743375,0.300875,2.024630526750116
