dataset_config,audio_column,label,n_words,raw_mean_flux,refined_mean_flux,percent_reduction
single_sentence_1k,audio__male,Male TTS,6,17.51299299299717,10.40144514098453,40.60726715791126
single_sentence_1k,audio__male,Male TTS,6,22.725869172545647,6.568627200737865,71.09625532530478
single_sentence_1k,audio__male,Male TTS,10,28.34162942096591,16.837662735953927,40.59035037873244
single_sentence_1k,audio__male,Male TTS,6,15.38354199383563,8.607040420614188,44.05033363536738
single_sentence_1k,audio__male,Male TTS,5,19.135267731174828,1.8394114318303765,90.38732325216625
single_sentence_1k,audio__male,Male TTS,9,19.771438092304603,10.142390188307722,48.70180843215789
single_sentence_1k,audio__male,Male TTS,8,45.2174725374789,20.89135007089726,53.798058806623295
single_sentence_1k,audio__male,Male TTS,8,12.760217999544693,8.855244310890775,30.602719238756375
single_sentence_1k,audio__male,Male TTS,7,22.695226085239224,7.245968944455332,68.07271750789896
single_sentence_1k,audio__male,Male TTS,5,40.378007512539625,26.416222854083536,34.57769592548661
single_sentence_1k,audio__male,Male TTS,9,43.23512426680989,17.992429399190243,58.38469368526273
single_sentence_1k,audio__male,Male TTS,6,27.36240525683873,29.80273762272584,-8.918559399222378
single_sentence_1k,audio__male,Male TTS,6,24.97069400300582,12.394976752441252,50.361905235996964
single_sentence_1k,audio__male,Male TTS,4,17.912529703229666,12.32424263030666,31.19764302144005
single_sentence_1k,audio__male,Male TTS,10,30.182242907513864,25.299305251426084,16.17818023349144
single_sentence_1k,audio__male,Male TTS,6,39.783970214814566,14.119487923715573,64.50960563393488
single_sentence_1k,audio__male,Male TTS,8,30.921272801235318,6.7724301257580795,78.09782873657285
single_sentence_1k,audio__male,Male TTS,7,52.863342707045376,18.254010224968688,65.46943630460984
single_sentence_1k,audio__male,Male TTS,8,11.446014857850969,7.462487725798988,34.80274297669313
single_sentence_1k,audio__male,Male TTS,6,43.14396532648243,21.432239041175336,50.32390073793264
single_sentence_1k,audio__male,Male TTS,10,20.209949513245373,12.205415267753125,39.60689877154896
single_sentence_1k,audio__male,Male TTS,9,49.016133127579856,52.543342034302164,-7.196016253549909
single_sentence_1k,audio__male,Male TTS,3,35.223947962125145,10.526976663054887,70.11414883313445
single_sentence_1k,audio__male,Male TTS,8,33.05949238874018,27.302142926816444,17.415117552998634
single_sentence_1k,audio__male,Male TTS,6,25.50652966896693,4.213992468789684,83.47876985430626
single_sentence_1k,audio__male,Male TTS,1,17.624292492866516,1.7607398105851644,90.00958585260754
single_sentence_1k,audio__male,Male TTS,8,44.075372718973085,30.314686187986275,31.22080581989783
single_sentence_1k,audio__male,Male TTS,7,27.937159331781523,12.646790941876898,54.731292499413804
single_sentence_1k,audio__male,Male TTS,8,11.381764178862795,3.9085973609053326,65.6591254265834
single_sentence_1k,audio__male,Male TTS,8,15.035450150049884,9.850475462968461,34.48499802358243
single_sentence_1k,audio__male,Male TTS,7,16.798528564827784,11.730702436810263,30.16827401554902
single_sentence_1k,audio__male,Male TTS,7,19.68676061289651,16.170073591480364,17.86320812532467
single_sentence_1k,audio__male,Male TTS,10,25.598302943632007,23.091200341453078,9.794018797650846
single_sentence_1k,audio__male,Male TTS,6,17.14043780664603,16.19187078033671,5.534088668035787
single_sentence_1k,audio__male,Male TTS,9,25.65973030465021,25.304201536345417,1.3855514617016944
single_sentence_1k,audio__male,Male TTS,9,19.495715454886877,16.582554368778403,14.942570806644845
single_sentence_1k,audio__male,Male TTS,9,15.048750765828622,11.898927743406805,20.930794000350897
single_sentence_1k,audio__male,Male TTS,10,25.57993141580373,9.811198105817311,61.644939752435064
single_sentence_1k,audio__male,Male TTS,10,18.895170474052428,11.420526899697142,39.55848709922862
single_sentence_1k,audio__male,Male TTS,8,20.960250583360903,5.838793309661014,72.14349472378882
single_sentence_1k,audio__male,Male TTS,5,13.417262357473373,3.5253108145236096,73.72555801176516
single_sentence_1k,audio__male,Male TTS,5,6.264672976732254,7.4659322217226505,-19.175130919874302
single_sentence_1k,audio__male,Male TTS,8,19.048265582532622,7.4964255550036984,60.645101662809836
single_sentence_1k,audio__male,Male TTS,8,50.88699085544795,16.587276723277306,67.40369897210876
single_sentence_1k,audio__male,Male TTS,8,30.45679904706776,12.09545835247242,60.28650833010991
single_sentence_1k,audio__male,Male TTS,6,40.29322554667791,30.067849463048898,25.37740760362649
single_sentence_1k,audio__male,Male TTS,10,11.531664094654843,9.595749216882757,16.787818842810566
single_sentence_1k,audio__male,Male TTS,10,17.498977599805222,3.292778309441489,81.1830246043738
single_sentence_1k,audio__male,Male TTS,9,38.789553236630226,12.357528507348945,68.14212210188764
single_sentence_1k,audio__male,Male TTS,10,13.86068147830665,4.13432841228651,70.17225726774585
single_sentence_1k,audio__male,Male TTS,10,17.62166861877777,12.129512212503574,31.16706212725914
single_sentence_1k,audio__male,Male TTS,6,14.112588731882473,9.992898285325747,29.19159995961423
single_sentence_1k,audio__male,Male TTS,5,34.83604901785729,19.62309895465039,43.67013622988243
single_sentence_1k,audio__male,Male TTS,9,43.26896804446975,41.929938336999335,3.094665225420275
single_sentence_1k,audio__male,Male TTS,5,8.22983893752098,3.1812905442666857,61.34443737698511
single_sentence_1k,audio__male,Male TTS,5,30.23699916601181,13.366184732962026,55.7952670515452
single_sentence_1k,audio__male,Male TTS,8,25.99081769399345,8.855998144666287,65.92643506282246
single_sentence_1k,audio__male,Male TTS,6,21.03697840834502,23.274024625255013,-10.633876089460605
single_sentence_1k,audio__male,Male TTS,8,21.1873601321131,7.254179218719393,65.76175996685669
single_sentence_1k,audio__male,Male TTS,10,18.700188910961153,21.007346929338947,-12.337618776810588
single_sentence_1k,audio__male,Male TTS,8,57.18372407314382,43.31426151050255,24.254213567659246
single_sentence_1k,audio__male,Male TTS,7,18.64607941572155,8.803887517591264,52.78424315747463
single_sentence_1k,audio__male,Male TTS,8,17.314864810556173,21.27854572093935,-22.891780870080368
single_sentence_1k,audio__male,Male TTS,7,32.36143861048394,12.1809587288018,62.359650090291076
single_sentence_1k,audio__male,Male TTS,6,72.09675559781802,39.503415195348985,45.207776871800675
single_sentence_1k,audio__male,Male TTS,7,38.02129166619852,11.930429872589558,68.62171338803863
single_sentence_1k,audio__male,Male TTS,9,25.826388821351486,16.689048778502713,35.37985936034018
single_sentence_1k,audio__male,Male TTS,8,28.421322096139193,23.83728250645958,16.128875265455427
single_sentence_1k,audio__male,Male TTS,7,35.84618938068992,20.328976284009862,43.28831980405445
single_sentence_1k,audio__male,Male TTS,5,44.986641264148055,5.794090939293018,87.12041891442426
single_sentence_1k,audio__male,Male TTS,6,20.006604737291735,3.534514276204787,82.33326282686758
single_sentence_1k,audio__male,Male TTS,8,19.66332942212466,7.937140936485656,59.63480666933752
single_sentence_1k,audio__male,Male TTS,6,27.679780165354412,32.514402838485516,-17.46626109112815
single_sentence_1k,audio__male,Male TTS,7,35.734850249542475,16.846656407075077,52.85650761250701
single_sentence_1k,audio__male,Male TTS,9,24.511214425166447,13.637542168216005,44.36202983800793
single_sentence_1k,audio__male,Male TTS,7,45.04137269713517,31.691172679550995,29.639860461964346
single_sentence_1k,audio__male,Male TTS,5,35.05158399939537,34.7356054583647,0.9014672233817375
single_sentence_1k,audio__male,Male TTS,5,21.76653870344162,16.949660823962223,22.12973750722146
single_sentence_1k,audio__male,Male TTS,7,14.284489428890604,11.527586262867704,19.299976941752078
single_sentence_1k,audio__male,Male TTS,9,30.01546968271335,15.811694200584592,47.32151664549518
single_sentence_1k,audio__male,Male TTS,8,27.66615590173751,22.151531967485617,19.93274365198513
single_sentence_1k,audio__male,Male TTS,7,33.89834954908916,13.448469250718647,60.327067749291054
single_sentence_1k,audio__male,Male TTS,9,14.333484128841924,11.192989456155273,21.91019744018364
single_sentence_1k,audio__male,Male TTS,1,0.44266892969608307,0.33765924144857506,23.721946855317587
single_sentence_1k,audio__male,Male TTS,10,25.58466544598341,24.490427054726766,4.276930623020643
single_sentence_1k,audio__male,Male TTS,6,6.914376286168893,5.880453017266116,14.95323983120467
single_sentence_1k,audio__male,Male TTS,10,25.951113253831863,18.8118004132265,27.510622649497297
single_sentence_1k,audio__male,Male TTS,8,24.701373665360734,12.35294899159119,49.99084197121396
single_sentence_1k,audio__male,Male TTS,9,30.89298751220728,14.785569200082124,52.13939993909735
single_sentence_1k,audio__male,Male TTS,4,38.873243633657694,10.072061793472358,74.08998876350095
single_sentence_1k,audio__male,Male TTS,9,16.74165673810368,3.6243083123390454,78.35155523114871
single_sentence_1k,audio__male,Male TTS,2,14.99498588591814,1.681255795813154,88.78788010469533
single_sentence_1k,audio__male,Male TTS,8,22.70086392434314,1.5026678407503011,93.38056980668951
single_sentence_1k,audio__male,Male TTS,8,42.90799135885069,28.830024507638342,32.80966180279717
single_sentence_1k,audio__male,Male TTS,7,36.755261912027244,26.471933588838414,27.97783987446942
single_sentence_1k,audio__male,Male TTS,8,24.05953412526287,24.638820078878414,-2.4077189134235297
single_sentence_1k,audio__male,Male TTS,6,23.31295839790255,11.71797573550342,49.73621307299343
single_sentence_1k,audio__male,Male TTS,8,45.395189849077724,39.40843652216754,13.188078619813975
single_sentence_1k,audio__male,Male TTS,10,20.2839939638332,5.437657858714686,73.19237094819616
single_sentence_1k,audio__male,Male TTS,7,19.761504458983836,21.289094873905732,-7.730132177398232
single_sentence_1k,audio__male,Male TTS,8,9.297342751407996,4.550819339326537,51.05247315274724
single_sentence_1k,audio__male,Male TTS,8,19.78459871187806,19.564219213833834,1.113894202523898
single_sentence_1k,audio__male,Male TTS,9,22.29863249593311,18.35591052621506,17.681451857808483
single_sentence_1k,audio__male,Male TTS,5,40.93212057459168,4.7281240815576435,88.44886603678043
single_sentence_1k,audio__male,Male TTS,8,31.09112570574507,24.203030554814525,22.15453765206627
single_sentence_1k,audio__male,Male TTS,7,32.0468608087727,10.684638732476344,66.65932805015503
single_sentence_1k,audio__male,Male TTS,8,20.63832463134895,19.867512833138857,3.734856447791578
single_sentence_1k,audio__male,Male TTS,8,12.09974616067484,3.9774906338026312,67.12748696555471
single_sentence_1k,audio__male,Male TTS,8,13.550903374925838,5.598484976415364,58.68552212707366
single_sentence_1k,audio__male,Male TTS,7,40.27105313579419,6.0404831293271855,85.00043416059012
single_sentence_1k,audio__male,Male TTS,6,25.334852491815884,12.189204499746362,51.88760422550738
single_sentence_1k,audio__male,Male TTS,7,17.064273136002676,13.391813024492876,21.521339246273207
single_sentence_1k,audio__male,Male TTS,6,24.610788158493353,6.6557571874194155,72.95593645942434
single_sentence_1k,audio__male,Male TTS,7,20.90347413654984,13.509878703280524,35.37017523963432
single_sentence_1k,audio__male,Male TTS,7,22.248899885054147,8.447772617202386,62.03060528454607
single_sentence_1k,audio__male,Male TTS,8,28.63452868256718,16.45777959897407,42.524705814370066
single_sentence_1k,audio__male,Male TTS,7,43.70873232252364,30.75652798686958,29.632990131309832
single_sentence_1k,audio__male,Male TTS,7,46.61038571409881,39.219882904473444,15.85591429120028
single_sentence_1k,audio__male,Male TTS,8,37.6620829065796,19.075795591233828,49.35013116892356
single_sentence_1k,audio__male,Male TTS,10,38.00403291396797,28.488891134501092,25.037189608289413
single_sentence_1k,audio__male,Male TTS,6,27.31350025593188,16.941302088597997,37.974620865669806
single_sentence_1k,audio__male,Male TTS,9,19.634443345169228,17.417971138594012,11.28869389169898
single_sentence_1k,audio__male,Male TTS,7,28.33070680698646,25.90962690828415,8.545780079532863
single_sentence_1k,audio__male,Male TTS,7,28.814604922064714,17.300688554569856,39.958612650205396
single_sentence_1k,audio__male,Male TTS,8,24.41992049617693,21.886544490788992,10.374218891435579
single_sentence_1k,audio__male,Male TTS,7,38.52982815035752,10.83425635227286,71.88085991457419
single_sentence_1k,audio__male,Male TTS,6,22.169762500872213,21.117419926760096,4.746747170028166
single_sentence_1k,audio__male,Male TTS,5,28.30517969286875,11.02957152734438,61.03338100297174
single_sentence_1k,audio__male,Male TTS,8,27.521175637841225,7.946495518088341,71.12588639868268
single_sentence_1k,audio__male,Male TTS,7,22.214843548302138,17.479784366134222,21.314843707417477
single_sentence_1k,audio__male,Male TTS,7,30.70248384986605,18.04118907677392,41.23866601479335
single_sentence_1k,audio__male,Male TTS,6,63.45467491944631,48.20474245006941,24.032795832200236
single_sentence_1k,audio__male,Male TTS,6,30.618371920567103,31.27033933538325,-2.1293340367918328
