sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,What is the MOO programming language?,6,4,1,programming,0.09494674205780029,0.09494674205780029,0.4092870648094496,0.07803964614868164,0.26970325665977835,0.07803964614868164,1,0.5342399999999999,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
1,What is the MOO programming language?,6,3,2,MOO,0.07827377319335938,0.07827377319335938,0.3374148726700697,0.1271601915359497,0.1666666666666664,0.171464204788208,2,0.21845500000000007,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
1,What is the MOO programming language?,6,0,3,What,0.04850016534328461,0.04850016534328461,0.20906973621108196,0.04776191711425781,0.26970325665977835,0.2644643187522888,3,0.24130333333333331,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
1,What is the MOO programming language?,6,5,4,language?,0.005802466534078121,0.005802466534078121,0.025012701277755827,0.0,-2.220446049250313e-16,0.2857844829559326,4,0.38365833333333343,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
1,What is the MOO programming language?,6,1,5,is,0.00346860708668828,0.00346860708668828,0.014952129822671164,0.0,-2.220446049250313e-16,0.2853301763534546,5,0.14111999999999997,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
1,What is the MOO programming language?,6,2,6,the,-0.0009890480432659388,0.0009890480432659388,0.004263490898270259,0.0,-2.220446049250313e-16,0.23000270128250122,6,0.07055999999999996,0.7699972987174988,What is the Moo programming language?,64,7.0364198914988565
2,How many seasons did Everwood have?,6,4,1,Everwood,0.12193089723587036,0.12193089723587036,0.44367369440598275,0.1416218876838684,0.1666666666666664,0.1416218876838684,1,0.42399999999999993,0.7428809404373169,How many seasons did Everwood have?,64,7.099560629666182
2,How many seasons did Everwood have?,6,2,2,seasons,0.07724364846944809,0.07724364846944809,0.28106883212334,0.07021963596343994,0.1666666666666664,0.20842427015304565,2,0.46438095238095245,0.7428809404373169,How many seasons did Everwood have?,64,7.099560629666182
2,How many seasons did Everwood have?,6,3,3,did,0.04256788268685341,0.04256788268685341,0.15489305994511007,0.09551537036895752,0.33333333333333315,0.21265214681625366,3,0.15886309523809516,0.7428809404373169,How many seasons did Everwood have?,64,7.099560629666182
2,How many seasons did Everwood have?,6,1,4,many,0.012846987694501877,0.012846987694501877,0.046746728037124825,0.0,-2.220446049250313e-16,0.20573174953460693,4,0.21199999999999997,0.7428809404373169,How many seasons did Everwood have?,64,7.099560629666182
2,How many seasons did Everwood have?,6,0,5,How,0.011380670592188835,0.011380670592188835,0.04141119503685986,0.0,-2.220446049250313e-16,0.28806984424591064,5,0.17029166666666662,0.7428809404373169,How many seasons did Everwood have?,64,7.099560629666182
