sample_id,n_segments,present_mask,coalition_size,util_emb,util_tfidf
1,4,15,4,0.9999998807907104,1.0
1,4,0,0,0.8842418193817139,0.5
1,4,1,1,0.8101320862770081,0.0
1,4,2,1,0.9434221982955933,0.5
1,4,4,1,0.8770792484283447,0.7071067811865476
1,4,8,1,0.8445308208465576,0.5
1,4,3,2,0.947909414768219,0.7071067811865476
1,4,5,2,0.8770792484283447,0.7071067811865476
1,4,9,2,0.8359534740447998,0.31622776601683794
1,4,6,2,0.9614757299423218,0.8660254037844388
1,4,10,2,0.9474376440048218,0.7071067811865476
1,4,12,2,0.8770792484283447,0.7071067811865476
1,4,7,3,0.9676175117492676,1.0
1,4,11,3,0.9520612359046936,0.8660254037844388
1,4,13,3,0.8770792484283447,0.7071067811865476
1,4,14,3,0.9614757299423218,0.8660254037844388
6,4,15,4,1.0,1.0
6,4,0,0,0.7669602036476135,0.0
6,4,1,1,0.7984436750411987,0.0
6,4,2,1,0.7669602036476135,0.0
6,4,4,1,0.8536515235900879,0.5
6,4,8,1,0.924199640750885,0.5
6,4,3,2,0.8026734590530396,0.3535533905932738
6,4,5,2,0.8395751118659973,0.3535533905932738
6,4,9,2,0.93442702293396,0.3535533905932738
6,4,6,2,0.8246719837188721,0.7071067811865476
6,4,10,2,0.9255030155181885,0.7071067811865476
6,4,12,2,0.9669859409332275,0.7071067811865476
6,4,7,3,0.8998638987541199,0.8660254037844388
6,4,11,3,0.9255030155181885,0.7071067811865476
6,4,13,3,0.9590803980827332,0.5773502691896258
6,4,14,3,0.9690667986869812,0.8660254037844388
11,4,15,4,1.0,1.0
11,4,0,0,0.7733944058418274,0.0
11,4,1,1,0.9035847187042236,0.5
11,4,2,1,0.843890368938446,0.5
11,4,4,1,0.7747067809104919,0.3535533905932738
11,4,8,1,0.855015754699707,0.5
11,4,3,2,0.9540423154830933,0.7071067811865476
11,4,5,2,0.9110620021820068,0.7071067811865476
11,4,9,2,0.926889181137085,0.7071067811865476
11,4,6,2,0.8291364908218384,0.5773502691896258
11,4,10,2,0.8881160020828247,0.7071067811865476
11,4,12,2,0.8511132001876831,0.7071067811865476
11,4,7,3,0.917068362236023,0.670820393249937
11,4,11,3,0.9659046530723572,0.8660254037844388
11,4,13,3,0.9782302379608154,1.0
11,4,14,3,0.9054778814315796,0.8660254037844388
26,4,15,4,1.0,1.0
26,4,0,0,0.813147246837616,0.3535533905932738
26,4,1,1,0.7810394167900085,0.2886751345948129
26,4,2,1,0.8093709945678711,0.5
26,4,4,1,0.7520366311073303,0.0
26,4,8,1,0.8387739658355713,0.5
26,4,3,2,0.8123264312744141,0.5
26,4,5,2,0.9340973496437073,0.75
26,4,9,2,0.8594751954078674,0.75
26,4,6,2,0.9419029355049133,0.7071067811865476
26,4,10,2,0.8773382306098938,0.7071067811865476
26,4,12,2,0.9875304102897644,0.8660254037844388
26,4,7,3,0.9620323777198792,0.8660254037844388
26,4,11,3,0.8569785356521606,0.75
26,4,13,3,1.0,1.0
26,4,14,3,0.9875304102897644,0.8660254037844388
32,4,15,4,1.0,1.0
32,4,0,0,0.7819157242774963,0.0
32,4,1,1,0.7744836807250977,0.223606797749979
32,4,2,1,0.885588526725769,0.5
32,4,4,1,0.8505505919456482,0.3535533905932738
32,4,8,1,0.9470410346984863,0.7071067811865476
32,4,3,2,0.9071362614631653,0.7071067811865476
32,4,5,2,0.8519183397293091,0.5
32,4,9,2,0.8512617945671082,0.5
32,4,6,2,0.9364701509475708,0.7071067811865476
32,4,10,2,0.9921236634254456,0.8660254037844388
32,4,12,2,0.899665355682373,0.5773502691896258
32,4,7,3,0.946222722530365,0.8660254037844388
32,4,11,3,0.9481863975524902,0.75
32,4,13,3,0.9015865921974182,0.75
32,4,14,3,0.9921236634254456,0.8660254037844388
33,4,15,4,0.9999999403953552,1.0
33,4,0,0,0.771945059299469,0.0
33,4,1,1,0.8081165552139282,0.5
33,4,2,1,0.8283665776252747,0.5
33,4,4,1,0.8081165552139282,0.5
33,4,8,1,0.8711422681808472,0.5
33,4,3,2,0.842271089553833,0.7071067811865476
33,4,5,2,0.8224328756332397,0.447213595499958
33,4,9,2,0.8994839191436768,0.8660254037844388
33,4,6,2,0.8413327932357788,0.7071067811865476
33,4,10,2,0.8872384428977966,0.7071067811865476
33,4,12,2,0.8896036744117737,0.7071067811865476
33,4,7,3,0.841850757598877,0.670820393249937
33,4,11,3,0.8994839191436768,0.8660254037844388
33,4,13,3,0.9794188737869263,0.8660254037844388
33,4,14,3,0.8978281617164612,0.8660254037844388
35,4,15,4,0.9999999403953552,1.0
35,4,0,0,0.7375895380973816,0.0
35,4,1,1,0.8215409517288208,0.5
35,4,2,1,0.8859503269195557,0.5773502691896258
35,4,4,1,0.7829048037528992,0.3535533905932738
35,4,8,1,0.8918922543525696,0.7071067811865476
35,4,3,2,0.9117900133132935,0.5773502691896258
35,4,5,2,0.8215409517288208,0.5
35,4,9,2,0.8960868716239929,0.75
35,4,6,2,0.8706430792808533,0.5
