sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.09610003978013992,0.09610003978013992,0.7309721414873666,0.12292075157165527,0.2928932188134524,0.12292075157165527,1,0.5218978102189781,0.8842418193817139,"A Frenchman, your name.",16,2.463648177750656
1,A FRENCHMAN YOUR NAME,4,2,2,YOUR,0.027513455599546432,0.027513455599546432,0.20927743219804887,0.052090585231781006,0.2928932188134524,0.17651081085205078,2,0.7267468065693432,0.8842418193817139,"A Frenchman, your name.",16,2.463648177750656
1,A FRENCHMAN YOUR NAME,4,0,3,A,-0.006064673885703087,0.006064673885703087,0.046130133429674626,0.03852438926696777,0.13397459621556118,0.12292075157165527,3,0.12016833941605842,0.8842418193817139,"A Frenchman, your name.",16,2.463648177750656
1,A FRENCHMAN YOUR NAME,4,3,4,NAME,-0.0017906427383422852,0.0017906427383422852,0.01362028527854327,0.0,0.0,0.11575818061828613,4,0.23111222627737238,0.8842418193817139,"A Frenchman, your name.",16,2.463648177750656
6,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.1311325579881668,0.1311325579881668,0.5627045658209071,0.10013610124588013,0.13397459621556118,0.10013610124588013,1,0.3510249999999999,0.7669602036476135,"Ahem, a common rumor.",16,2.167535989749922
6,AHEM A COMMON RUMOR,4,2,2,COMMON,0.06021542847156525,0.06021542847156525,0.25839118105870856,0.07449698448181152,0.2928932188134524,0.22810906171798706,2,0.3915599999999999,0.7669602036476135,"Ahem, a common rumor.",16,2.167535989749922
6,AHEM A COMMON RUMOR,4,0,3,AHEM,0.030000045895576477,0.030000045895576477,0.12873357356302756,0.0309332013130188,0.13397459621556118,0.23303979635238647,3,0.4213924999999999,0.7669602036476135,"Ahem, a common rumor.",16,2.167535989749922
6,AHEM A COMMON RUMOR,4,1,4,A,0.011691763997077942,0.011691763997077942,0.05017067526624422,0.03301405906677246,0.2928932188134524,0.23303979635238647,4,0.5343899999999999,0.7669602036476135,"Ahem, a common rumor.",16,2.167535989749922
11,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.12141216546297073,0.12141216546297073,0.49309618791659227,0.09983152151107788,0.13397459621556118,0.09983152151107788,1,0.4828878546099292,0.7537758946418762,Altered Words and Figures,16,2.25292149949928
11,ALTERED WORDS AND FIGURES,4,3,2,FIGURES,0.058447107672691345,0.058447107672691345,0.23737362626107253,0.041489601135253906,0.13397459621556118,0.13927364349365234,2,0.555375,0.7537758946418762,Altered Words and Figures,16,2.25292149949928
11,ALTERED WORDS AND FIGURES,4,1,3,WORDS,0.04913942143321037,0.04913942143321037,0.19957193986901522,0.02176976203918457,0.0,0.2160940170288086,3,0.46326241134751767,0.7537758946418762,Altered Words and Figures,16,2.25292149949928
11,ALTERED WORDS AND FIGURES,4,2,4,AND,0.01722540520131588,0.01722540520131588,0.06995824189197913,0.019422948360443115,0.13397459621556118,0.24622410535812378,4,0.2221458333333335,0.7537758946418762,Altered Words and Figures,16,2.25292149949928
26,AND I BOUGHT THINGS,4,2,1,BOUGHT,0.1313437521457672,0.1313437521457672,0.512178873409662,0.14052492380142212,0.25,0.14052492380142212,1,0.42767125984251975,0.7435588240623474,And I bought things.,16,2.5822907735000626
26,AND I BOUGHT THINGS,4,3,2,THINGS,0.07631305605173111,0.07631305605173111,0.2975850349672201,0.06590265035629272,0.25,0.17378854751586914,2,0.44407381889763786,0.7435588240623474,And I bought things.,16,2.5822907735000626
26,AND I BOUGHT THINGS,4,1,3,I,0.02490645833313465,0.02490645833313465,0.09712347607925936,0.0,0.0,0.17378854751586914,3,0.17293749999999997,0.7435588240623474,And I bought things.,16,2.5822907735000626
26,AND I BOUGHT THINGS,4,0,4,AND,0.023877907544374466,0.023877907544374466,0.09311261164432867,0.012469589710235596,0.13397459621556118,0.2564411759376526,4,0.20112204724409444,0.7435588240623474,And I bought things.,16,2.5822907735000626
32,AND NOW I SAID,4,3,1,SAID,0.11491941660642624,0.11491941660642624,0.5234041831000242,0.09126847982406616,0.25,0.09126847982406616,1,0.3619148936170211,0.7804386019706726,"And now, I said,",16,2.4632243282503623
32,AND NOW I SAID,4,0,2,AND,0.052078790962696075,0.052078790962696075,0.2371945302682871,0.0325620174407959,0.13397459621556118,0.08286374807357788,2,0.18055452127659566,0.7804386019706726,"And now, I said,",16,2.4632243282503623
32,AND NOW I SAID,4,1,3,NOW,0.040858879685401917,0.040858879685401917,0.18609308309805747,-1.1920928955078125e-07,0.0,0.14865529537200928,3,0.2613829787234043,0.7804386019706726,"And now, I said,",16,2.4632243282503623
32,AND NOW I SAID,4,2,4,I,0.011704429052770138,0.011704429052770138,0.053308198979099004,-1.1920928955078125e-07,0.0,0.2195613980293274,4,0.18095744680851045,0.7804386019706726,"And now, I said,",16,2.4632243282503623
33,AND OH ANNE DEAR,4,3,1,DEAR,0.10305136442184448,0.10305136442184448,0.4729830761062396,0.15577375888824463,0.32917960675006297,0.15577375888824463,1,0.34550000000000014,0.7821245789527893,"And oh, Anne dear,",16,2.36400750275061
33,AND OH ANNE DEAR,4,0,2,AND,0.04510452225804329,0.04510452225804329,0.20701982747731018,0.0996851921081543,0.13397459621556118,0.1586672067642212,2,0.18875986842105263,0.7821245789527893,"And oh, Anne dear,",16,2.36400750275061
33,AND OH ANNE DEAR,4,2,3,ANNE,0.04399080201983452,0.04399080201983452,0.20190809676762833,0.10551261901855469,0.13397459621556118,0.17665058374404907,3,0.32194736842105254,0.7821245789527893,"And oh, Anne dear,",16,2.36400750275061
33,AND OH ANNE DEAR,4,1,4,OH,0.025728683918714523,0.025728683918714523,0.11808899505904204,0.02058112621307373,0.13397459621556118,0.2178754210472107,4,0.24167434210526317,0.7821245789527893,"And oh, Anne dear,",16,2.36400750275061
35,AND REFUSED TO APOLOGISE,4,3,1,APOLOGISE,0.11332779377698898,0.11332779377698898,0.41257035470970665,0.09826433658599854,0.5,0.09826433658599854,1,0.846997685185185,0.7270021438598633,and refuse to apologize.,16,2.5569229967504725
35,AND REFUSED TO APOLOGISE,4,1,2,REFUSED,0.10585521906614304,0.10585521906614304,0.3853664120906941,0.10336601734161377,0.25,0.21493864059448242,2,0.5046296296296298,0.7270021438598633,and refuse to apologize.,16,2.5569229967504725
35,AND REFUSED TO APOLOGISE,4,0,3,AND,0.054659564048051834,0.054659564048051834,0.19898839442651886,0.06874668598175049,0.25,0.2729978561401367,3,0.1468726851851852,0.7270021438598633,and refuse to apologize.,16,2.5569229967504725
35,AND REFUSED TO APOLOGISE,4,2,4,TO,-0.0008446178399026394,0.0008446178399026394,0.003074835132575688,-1.1920928955078125e-07,0.0,0.2729978561401367,4,0.0403703703703705,0.7270021438598633,and refuse to apologize.,16,2.5569229967504725
38,AND SO IN MY VIEW,5,4,1,VIEW,0.08333244919776917,0.08333244919776917,0.3371314222328513,0.0,-2.220446049250313e-16,0.0,1,0.3019017857142856,0.7528191208839417,"And so, in my view,",32,4.1032852878001
38,AND SO IN MY VIEW,5,0,2,AND,0.045580100268125534,0.045580100268125534,0.1843997647595901,0.00518345832824707,0.10557280900008403,0.00518345832824707,2,0.23312499999999997,0.7528191208839417,"And so, in my view,",32,4.1032852878001
38,AND SO IN MY VIEW,5,3,3,MY,0.04524829611182213,0.04524829611182213,0.18305741123231214,0.0,-2.220446049250313e-16,0.10253846645355225,3,0.22196428571428584,0.7528191208839417,"And so, in my view,",32,4.1032852878001
