sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.09621448814868927,0.09621448814868927,0.6742741800588009,0.12377941608428955,0.25,0.12377941608428955,1,0.4817518248175182,0.8842418193817139,"A Frenchman, your name.",16,1.295818661499652
1,A FRENCHMAN YOUR NAME,4,2,2,YOUR,0.027867726981639862,0.027867726981639862,0.19529791325823026,0.057836294174194336,0.2928932188134524,0.13829541206359863,2,0.4616788321167884,0.8842418193817139,"A Frenchman, your name.",16,1.295818661499652
1,A FRENCHMAN YOUR NAME,4,0,3,A,-0.013467620126903057,0.013467620126903057,0.0943815083688586,0.0,0.0,0.14553475379943848,3,0.03010948905109484,0.8842418193817139,"A Frenchman, your name.",16,1.295818661499652
1,A FRENCHMAN YOUR NAME,4,3,4,NAME,0.005143582820892334,0.005143582820892334,0.03604639130607857,0.032382428646087646,0.0,0.11575818061828613,4,0.3111313868613137,0.8842418193817139,"A Frenchman, your name.",16,1.295818661499652
6,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.12418139725923538,0.12418139725923538,0.48986019447350193,0.10013610124588013,0.13397459621556118,0.10013610124588013,1,0.27107999999999977,0.7464962601661682,"Ahem, a common rumor.",16,1.2936882515004982
6,AHEM A COMMON RUMOR,4,2,2,COMMON,0.09018608927726746,0.09018608927726746,0.3557584002694194,0.10007256269454956,0.75,0.24434131383895874,2,0.35139999999999993,0.7464962601661682,"Ahem, a common rumor.",16,1.2936882515004982
6,AHEM A COMMON RUMOR,4,1,3,A,0.021135874092578888,0.021135874092578888,0.08337499514314851,0.03301405906677246,0.2928932188134524,0.19917738437652588,3,0.31123999999999996,0.7464962601661682,"Ahem, a common rumor.",16,1.2936882515004982
6,AHEM A COMMON RUMOR,4,0,4,AHEM,0.018000390380620956,0.018000390380620956,0.0710064061692152,0.0309332013130188,0.13397459621556118,0.2535037398338318,4,0.29116,0.7464962601661682,"Ahem, a common rumor.",16,1.2936882515004982
11,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.12891939282417297,0.12891939282417297,0.5986883777247346,0.09983152151107788,0.13397459621556118,0.09983152151107788,1,0.39276595744680864,0.7846636176109314,Altered Words and Figures,16,2.2388724025004194
11,ALTERED WORDS AND FIGURES,4,1,2,WORDS,0.04120144620537758,0.04120144620537758,0.19133527119734683,0.02176976203918457,0.0,0.09983152151107788,2,0.41290780141843975,0.7846636176109314,Altered Words and Figures,16,2.2388724025004194
11,ALTERED WORDS AND FIGURES,4,3,3,FIGURES,0.029749711975455284,0.029749711975455284,0.13815459730449356,0.041489601135253906,0.13397459621556118,0.2160940170288086,3,0.45319148936170217,0.7846636176109314,Altered Words and Figures,16,2.2388724025004194
11,ALTERED WORDS AND FIGURES,4,2,4,AND,0.01546583604067564,0.01546583604067564,0.07182174912952806,0.019422948360443115,0.13397459621556118,0.2153363823890686,4,0.21148936170212784,0.7846636176109314,Altered Words and Figures,16,2.2388724025004194
26,AND I BOUGHT THINGS,4,2,1,BOUGHT,0.09799856692552567,0.09799856692552567,0.4665509042042425,0.14052480459213257,0.25,0.14052480459213257,1,0.38299212598425214,0.8192545771598816,And I bought things.,16,2.338724251751046
26,AND I BOUGHT THINGS,4,3,2,THINGS,0.09452252835035324,0.09452252835035324,0.45000220363469257,0.06590265035629272,0.25,0.1674656867980957,2,0.47370078740157506,0.8192545771598816,And I bought things.,16,2.338724251751046
26,AND I BOUGHT THINGS,4,1,3,I,-0.01465180516242981,0.01465180516242981,0.06975421336468027,0.0,0.0,0.1674656867980957,3,0.11086614173228337,0.8192545771598816,And I bought things.,16,2.338724251751046
26,AND I BOUGHT THINGS,4,0,4,AND,0.002876132959499955,0.002876132959499955,0.01369267403559157,0.0,0.0,0.1807454228401184,4,0.1310236220472441,0.8192545771598816,And I bought things.,16,2.338724251751046
32,AND NOW I SAID,4,3,1,SAID,0.08298436552286148,0.08298436552286148,0.928965818919428,0.08010029792785645,0.25,0.08010029792785645,1,0.33175531914893597,0.9197930097579956,"And now, I said,",16,2.5179567614995904
32,AND NOW I SAID,4,2,2,I,-0.004561424255371094,0.004561424255371094,0.05106271756289299,0.0,0.0,0.08043897151947021,2,0.13069148936170194,0.9197930097579956,"And now, I said,",16,2.5179567614995904
32,AND NOW I SAID,4,0,3,AND,0.0009306868305429816,0.0009306868305429816,0.010418543881674971,0.0,0.0,0.08043897151947021,3,0.10053191489361701,0.9197930097579956,"And now, I said,",16,2.5179567614995904
